Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.089,0.904,6.336,16.393,0.118
0.089,0.891,7.167,18.583,0.101
0.089,0.894,7.153,18.542,0.102
0.375,0.323,2.66,6.448,0.417
0.446,0.265,2.653,6.359,0.443
0.393,0.312,2.786,6.797,0.409
0.429,0.273,2.743,6.692,0.425
0.393,0.29,3.251,8.14,0.363
0.375,0.276,3.131,7.795,0.368
0.411,0.281,2.895,7.116,0.403
0.375,0.344,2.326,5.435,0.46
0.446,0.265,2.732,6.649,0.433
0.339,0.321,2.552,6.056,0.42
0.411,0.258,3.041,7.534,0.389
0.429,0.273,2.688,6.477,0.433
0.393,0.29,3.032,7.508,0.384
0.429,0.273,2.644,6.397,0.437
0.125,0.774,6.566,16.79,0.126
0.375,0.276,2.935,7.232,0.387
0.411,0.324,3.481,8.782,0.35
0.125,0.781,6.445,16.5,0.129
0.125,0.794,6.278,16.003,0.133
0.125,0.794,6.391,16.332,0.13
0.125,0.788,6.602,16.873,0.125
0.125,0.788,6.593,16.844,0.126
