Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.947,0.143,0.621,1.461,0.924
0.921,0.146,0.547,1.232,0.928
0.895,0.15,0.63,1.507,0.905
0.921,0.146,0.539,1.193,0.929
0.921,0.146,0.605,1.422,0.918
0.895,0.15,0.595,1.344,0.911
0.895,0.171,0.599,1.352,0.911
0.895,0.15,0.596,1.365,0.911
0.895,0.171,0.597,1.337,0.911
0.895,0.171,0.602,1.366,0.91
0.921,0.146,0.602,1.407,0.919
0.921,0.167,0.617,1.445,0.916
0.895,0.128,0.546,1.207,0.919
0.921,0.146,0.611,1.454,0.917
0.921,0.146,0.607,1.447,0.917
0.868,0.132,0.546,1.212,0.911
0.895,0.15,0.603,1.424,0.909
0.868,0.132,0.554,1.244,0.909
0.921,0.146,0.61,1.452,0.917
0.947,0.143,0.605,1.439,0.926
0.868,0.132,0.542,1.219,0.911
0.868,0.132,0.571,1.296,0.906
0.974,0.14,0.608,1.439,0.935
0.921,0.146,0.6,1.407,0.919
0.895,0.15,0.619,1.453,0.907
