Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.933,0.106,0.904,1.478,0.879
0.956,0.104,0.915,1.473,0.885
0.956,0.104,0.914,1.474,0.885
0.956,0.104,0.909,1.45,0.886
0.956,0.104,0.907,1.444,0.887
0.956,0.104,0.847,1.317,0.897
0.933,0.087,0.829,1.192,0.893
0.933,0.087,0.804,1.209,0.897
0.933,0.087,0.808,1.185,0.897
0.889,0.13,0.939,1.433,0.86
0.911,0.163,0.947,1.458,0.866
0.956,0.085,0.846,1.272,0.897
0.889,0.149,0.953,1.436,0.858
0.889,0.149,0.948,1.449,0.858
0.911,0.163,0.953,1.415,0.865
0.933,0.087,0.966,1.511,0.87
0.933,0.087,0.956,1.518,0.871
0.933,0.087,0.968,1.491,0.87
0.889,0.13,0.915,1.643,0.861
0.889,0.111,0.943,1.619,0.857
0.889,0.111,0.972,1.783,0.85
0.889,0.13,0.934,1.671,0.857
0.889,0.111,0.955,1.749,0.853
0.111,0.853,4.315,8.429,0.241
0.111,0.833,4.205,8.146,0.248
