Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.805,0.057,2.093,4.208,0.649
0.756,0.262,2.604,5.234,0.577
0.78,0.111,2.239,4.532,0.623
0.78,0.059,2.195,4.463,0.628
0.707,0.121,2.359,4.793,0.585
0.78,0.111,2.235,4.528,0.623
0.756,0.114,2.37,4.827,0.599
0.756,0.139,2.178,4.27,0.625
0.756,0.088,2.363,4.811,0.6
0.829,0.128,2.34,4.723,0.628
0.732,0.118,2.313,4.241,0.609
0.756,0.139,2.158,4.232,0.628
0.732,0.143,2.113,4.117,0.626
0.756,0.088,2.135,4.121,0.632
0.732,0.091,2.381,4.843,0.59
0.756,0.114,2.211,4.305,0.622
0.756,0.162,2.365,4.356,0.612
0.732,0.143,2.139,4.144,0.623
0.732,0.091,2.383,4.845,0.59
0.756,0.088,2.298,4.54,0.611
0.732,0.091,2.347,4.656,0.597
0.732,0.091,2.464,4.903,0.584
0.732,0.143,2.47,4.911,0.584
0.707,0.171,2.151,4.159,0.614
0.756,0.162,2.264,4.451,0.615
