Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.865,0.135,0.865,2.35,0.848
0.892,0.108,0.692,1.741,0.892
0.865,0.135,0.856,2.311,0.85
0.865,0.111,0.734,1.88,0.875
0.865,0.135,0.865,2.377,0.848
0.892,0.108,0.705,1.782,0.89
0.865,0.135,0.87,2.398,0.846
0.892,0.108,0.692,1.738,0.892
0.892,0.108,0.679,1.678,0.895
0.892,0.132,0.862,2.355,0.858
0.892,0.083,0.772,2.065,0.876
0.892,0.083,0.782,2.093,0.874
0.865,0.086,0.718,1.857,0.878
0.892,0.083,0.752,1.998,0.88
0.865,0.086,0.723,1.864,0.877
0.865,0.111,0.719,1.84,0.878
0.892,0.083,0.737,1.921,0.883
0.892,0.083,0.723,1.907,0.885
0.892,0.083,0.702,1.804,0.89
0.865,0.086,0.716,1.84,0.878
0.865,0.111,0.718,1.84,0.878
0.865,0.111,0.715,1.796,0.879
0.892,0.083,0.712,1.8,0.888
0.865,0.111,0.717,1.853,0.878
0.865,0.086,0.768,2.051,0.867
