Fnat,Fnonnat,iRMS,LRMS,DockQ_score
1.0,0.25,0.345,0.833,0.98
1.0,0.192,0.367,0.911,0.977
1.0,0.192,0.37,0.904,0.977
1.0,0.192,0.367,0.917,0.977
1.0,0.222,0.372,0.923,0.977
1.0,0.25,0.339,0.813,0.981
1.0,0.276,0.348,0.836,0.98
1.0,0.192,0.369,0.912,0.977
1.0,0.222,0.343,0.829,0.98
1.0,0.222,0.344,0.838,0.98
1.0,0.222,0.337,0.808,0.981
1.0,0.222,0.365,0.926,0.977
1.0,0.25,0.348,0.844,0.98
1.0,0.222,0.364,0.903,0.978
1.0,0.192,0.359,0.902,0.978
1.0,0.222,0.336,0.807,0.981
1.0,0.222,0.348,0.827,0.98
1.0,0.222,0.364,0.905,0.978
1.0,0.222,0.375,0.9,0.977
1.0,0.222,0.365,0.909,0.978
1.0,0.222,0.368,0.884,0.978
1.0,0.222,0.371,0.89,0.977
1.0,0.222,0.374,0.898,0.977
1.0,0.222,0.344,0.822,0.98
1.0,0.222,0.381,0.913,0.976
