Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.433,0.606,1.465,4.919,0.565
0.433,0.606,1.472,4.957,0.563
0.433,0.606,1.482,4.996,0.561
0.433,0.567,1.386,4.653,0.581
0.433,0.606,1.456,4.884,0.567
0.433,0.552,1.402,4.717,0.577
0.467,0.562,1.38,4.625,0.593
0.433,0.567,1.418,4.783,0.574
0.433,0.552,1.414,4.773,0.574
0.433,0.552,1.426,4.816,0.572
0.433,0.581,1.388,4.659,0.58
0.467,0.481,1.124,3.472,0.655
0.467,0.533,1.33,4.403,0.605
0.533,0.467,1.067,3.3,0.689
0.4,0.571,1.541,5.211,0.538
0.367,0.577,1.463,4.931,0.542
0.4,0.5,1.249,4.085,0.601
0.467,0.44,1.185,3.824,0.638
0.333,0.565,1.386,4.529,0.551
0.467,0.44,1.226,4.009,0.628
0.433,0.48,1.316,4.315,0.598
0.367,0.522,1.383,4.548,0.562
0.5,0.423,1.184,3.833,0.649
0.467,0.44,1.213,3.953,0.631
0.5,0.423,1.198,3.902,0.645
