Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.811,0.283,2.503,5.246,0.6
0.83,0.29,2.607,5.513,0.594
0.811,0.295,2.558,5.413,0.593
0.811,0.306,2.625,5.553,0.586
0.83,0.279,2.572,5.43,0.598
0.849,0.297,2.626,5.566,0.598
0.811,0.295,2.605,5.52,0.588
0.811,0.295,2.611,5.528,0.587
0.83,0.302,2.572,5.425,0.598
0.83,0.279,2.557,5.388,0.6
0.83,0.29,2.587,5.456,0.597
0.83,0.279,2.543,5.363,0.601
0.83,0.29,2.578,5.441,0.597
0.83,0.302,2.561,5.397,0.599
0.83,0.29,2.543,5.36,0.601
0.83,0.302,2.522,5.32,0.603
0.83,0.29,2.522,5.3,0.604
0.83,0.279,2.524,5.317,0.603
0.849,0.274,2.564,5.469,0.604
0.83,0.29,2.536,5.344,0.602
0.811,0.283,2.568,5.469,0.591
0.849,0.274,2.548,5.429,0.606
0.811,0.283,2.514,5.29,0.598
0.849,0.274,2.543,5.415,0.606
0.849,0.286,2.493,5.287,0.612
