Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.978,0.064,4.61,0.895,0.688
0.978,0.064,4.595,0.87,0.688
0.978,0.064,4.606,0.901,0.688
0.978,0.064,4.622,0.899,0.687
0.978,0.064,4.621,0.898,0.687
0.911,0.109,4.798,0.951,0.663
0.911,0.089,4.795,0.958,0.663
0.933,0.087,4.667,0.914,0.672
0.911,0.089,4.783,0.947,0.663
0.933,0.087,4.837,0.836,0.67
0.933,0.087,4.791,0.935,0.67
0.933,0.087,5.483,0.839,0.664
0.911,0.089,4.818,0.747,0.664
0.933,0.087,5.488,0.822,0.665
0.933,0.087,4.801,0.902,0.67
0.933,0.087,4.795,0.931,0.67
0.933,0.087,5.493,0.822,0.664
0.933,0.087,4.792,0.864,0.671
0.911,0.089,4.817,0.925,0.663
0.933,0.087,4.827,0.842,0.671
0.911,0.089,4.76,0.917,0.663
0.889,0.091,4.768,0.9,0.656
0.911,0.089,4.773,0.943,0.663
0.911,0.089,4.775,0.942,0.663
0.889,0.091,4.777,0.932,0.656
