Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.761,0.222,2.662,5.291,0.574
0.761,0.222,2.627,5.204,0.578
0.761,0.222,2.627,5.194,0.578
0.761,0.222,2.685,5.292,0.573
0.761,0.222,2.636,5.216,0.577
0.739,0.261,2.673,5.327,0.566
0.739,0.244,2.644,5.274,0.568
0.739,0.244,2.644,5.27,0.568
0.761,0.239,2.752,5.381,0.568
0.739,0.261,2.645,5.288,0.568
0.739,0.244,2.665,5.297,0.567
0.761,0.222,2.753,5.384,0.568
0.761,0.239,2.767,5.384,0.567
0.761,0.239,2.759,5.389,0.567
0.761,0.239,2.756,5.392,0.568
0.761,0.239,2.74,5.366,0.569
0.761,0.239,2.759,5.388,0.567
0.761,0.239,2.751,5.37,0.568
0.761,0.222,2.754,5.388,0.568
0.761,0.239,2.755,5.368,0.568
0.761,0.239,2.662,5.271,0.575
0.761,0.239,2.681,5.311,0.573
0.761,0.255,2.653,5.263,0.575
0.761,0.255,2.696,5.299,0.572
0.761,0.222,2.679,5.314,0.573
