Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.87,0.091,0.613,1.497,0.899
0.652,0.348,1.163,3.5,0.711
0.652,0.348,1.149,3.454,0.714
0.696,0.36,1.157,3.476,0.726
0.652,0.348,1.143,3.425,0.715
0.652,0.348,1.149,3.457,0.714
0.87,0.091,0.654,1.665,0.891
0.826,0.095,0.609,1.495,0.885
0.565,0.381,1.339,4.049,0.646
0.565,0.48,1.488,4.54,0.616
0.565,0.35,1.243,3.754,0.665
0.478,0.389,1.289,3.908,0.626
0.478,0.312,1.146,3.402,0.657
0.522,0.368,1.187,3.564,0.662
0.565,0.381,1.124,3.347,0.69
0.522,0.333,1.209,3.622,0.658
0.478,0.421,1.208,3.645,0.643
0.478,0.421,1.138,3.398,0.658
0.609,0.364,1.256,3.799,0.677
0.565,0.381,1.221,3.678,0.67
0.609,0.364,1.206,3.638,0.687
0.609,0.222,0.913,2.743,0.748
0.696,0.059,0.705,1.876,0.823
0.13,0.0,2.067,6.661,0.365
0.087,0.0,3.103,10.158,0.229
