Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.953,0.18,1.085,1.58,0.859
0.953,0.18,1.084,1.556,0.859
0.953,0.18,1.078,1.546,0.86
0.977,0.125,0.791,1.495,0.91
0.116,0.865,7.629,15.847,0.126
0.116,0.857,7.624,15.84,0.126
0.14,0.854,7.665,15.816,0.134
0.14,0.85,7.648,15.934,0.133
0.116,0.868,7.6,15.691,0.127
0.14,0.838,7.661,15.8,0.134
0.116,0.861,7.618,15.832,0.126
0.14,0.842,7.614,15.838,0.134
0.14,0.846,7.683,15.872,0.133
0.116,0.861,7.591,15.728,0.127
0.14,0.846,7.671,15.842,0.133
0.14,0.842,7.493,15.559,0.136
0.14,0.85,7.611,15.731,0.134
0.14,0.838,7.66,15.813,0.134
0.116,0.868,7.54,15.636,0.127
0.116,0.865,7.543,15.642,0.127
0.14,0.854,7.616,15.762,0.134
0.116,0.865,7.489,15.452,0.129
0.14,0.854,7.424,15.414,0.137
0.116,0.865,7.506,15.575,0.128
0.116,0.857,7.454,15.445,0.129
