Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.908,0.033,0.638,1.405,0.909
0.908,0.033,0.636,1.388,0.91
0.908,0.033,0.648,1.453,0.907
0.908,0.017,0.64,1.413,0.909
0.908,0.033,0.634,1.387,0.91
0.908,0.017,0.649,1.338,0.909
0.923,0.016,0.662,1.487,0.91
0.892,0.017,0.656,1.459,0.901
0.908,0.017,0.693,1.721,0.897
0.908,0.017,0.652,1.395,0.908
0.908,0.017,0.653,1.412,0.907
0.908,0.017,0.659,1.382,0.907
0.908,0.017,0.657,1.444,0.906
0.908,0.0,0.665,1.469,0.905
0.923,0.016,0.662,1.425,0.911
0.892,0.079,0.712,1.41,0.894
0.923,0.016,0.665,1.465,0.91
0.892,0.079,0.715,1.452,0.893
0.892,0.079,0.718,1.469,0.892
0.877,0.066,0.725,1.605,0.884
0.892,0.065,0.71,1.643,0.891
0.862,0.082,0.733,1.637,0.878
0.892,0.017,0.701,1.618,0.893
0.892,0.065,0.694,1.408,0.896
0.892,0.065,0.725,1.476,0.891
