Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.865,0.238,1.205,3.22,0.782
0.865,0.273,1.024,2.475,0.823
0.865,0.273,1.059,2.641,0.815
0.865,0.273,1.046,2.599,0.817
0.865,0.273,1.018,2.516,0.823
0.865,0.273,1.008,2.554,0.824
0.865,0.22,1.169,3.247,0.787
0.865,0.238,1.194,3.282,0.782
0.865,0.2,1.144,3.129,0.793
0.865,0.22,1.183,3.187,0.786
0.865,0.256,1.232,3.777,0.766
0.865,0.22,1.002,2.842,0.819
0.865,0.22,1.051,2.941,0.809
0.892,0.233,1.215,3.758,0.777
0.865,0.238,1.054,3.027,0.807
0.865,0.2,1.243,3.85,0.762
0.865,0.22,0.993,2.825,0.82
0.865,0.256,1.291,4.002,0.753
0.865,0.22,0.999,2.828,0.819
0.892,0.25,1.249,3.927,0.769
0.865,0.179,1.126,3.944,0.776
0.865,0.22,1.085,3.81,0.785
0.892,0.214,1.113,3.907,0.787
0.865,0.22,1.077,3.741,0.788
0.865,0.22,1.13,3.975,0.774
