Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.86,0.075,0.852,1.777,0.858
0.842,0.077,0.846,1.761,0.853
0.842,0.077,0.856,1.757,0.852
0.825,0.078,0.908,1.844,0.837
0.842,0.077,0.85,1.756,0.853
0.842,0.077,0.851,1.759,0.853
0.825,0.06,0.916,1.863,0.836
0.825,0.078,0.915,1.896,0.835
0.825,0.078,0.921,1.859,0.835
0.825,0.078,0.918,1.863,0.835
0.93,0.07,0.543,1.36,0.93
0.825,0.078,0.854,1.651,0.848
0.93,0.07,0.668,1.62,0.91
0.86,0.075,0.848,1.665,0.86
0.93,0.07,0.61,1.358,0.921
0.825,0.078,0.847,1.644,0.849
0.982,0.067,0.587,1.43,0.941
0.825,0.078,0.858,1.667,0.847
0.982,0.067,0.587,1.383,0.941
0.912,0.055,0.658,1.606,0.905
0.982,0.067,0.588,1.401,0.941
0.93,0.086,0.653,1.538,0.913
0.93,0.07,0.663,1.564,0.911
0.912,0.088,0.659,1.552,0.906
0.982,0.067,0.591,1.368,0.941
