Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.906,0.127,0.623,0.447,0.919
0.906,0.143,0.646,0.53,0.915
0.906,0.127,0.636,0.491,0.917
0.906,0.143,0.64,0.516,0.916
0.887,0.13,0.648,0.498,0.909
0.943,0.167,0.645,0.618,0.927
0.925,0.14,0.653,0.622,0.92
0.906,0.158,0.677,0.619,0.91
0.943,0.153,0.655,0.64,0.926
0.925,0.155,0.659,0.667,0.919
0.906,0.127,0.573,0.418,0.925
0.925,0.109,0.568,0.423,0.932
0.925,0.109,0.518,0.431,0.938
0.925,0.14,0.576,0.466,0.931
0.943,0.167,0.636,0.525,0.929
0.925,0.125,0.58,0.396,0.931
0.925,0.155,0.675,0.549,0.917
0.906,0.094,0.634,0.455,0.917
0.925,0.14,0.625,0.526,0.924
0.906,0.158,0.69,0.527,0.909
0.906,0.111,0.679,0.585,0.91
0.906,0.158,0.699,0.481,0.908
0.189,0.762,2.535,7.309,0.341
0.302,0.719,2.107,5.969,0.436
0.208,0.718,2.56,7.429,0.343
