Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.846,0.185,0.413,0.893,0.922
0.885,0.148,0.411,0.879,0.935
0.885,0.115,0.398,0.798,0.937
0.885,0.148,0.409,0.849,0.935
0.846,0.154,0.401,0.818,0.923
0.885,0.08,0.387,0.662,0.939
0.885,0.08,0.398,0.763,0.937
0.923,0.111,0.388,0.755,0.951
0.923,0.111,0.395,0.692,0.951
0.923,0.077,0.395,0.646,0.951
0.923,0.111,0.387,0.666,0.952
0.923,0.077,0.394,0.635,0.951
0.885,0.08,0.398,0.644,0.938
0.846,0.154,0.413,0.75,0.923
0.885,0.179,0.406,0.725,0.936
0.885,0.08,0.395,0.636,0.938
0.923,0.111,0.396,0.687,0.95
0.846,0.154,0.408,0.745,0.923
0.846,0.154,0.407,0.737,0.923
0.885,0.115,0.395,0.675,0.938
0.923,0.111,0.39,0.675,0.951
0.885,0.115,0.392,0.674,0.938
0.885,0.115,0.393,0.669,0.938
0.846,0.12,0.406,0.733,0.923
0.885,0.115,0.39,0.671,0.938
