Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.943,0.0,0.813,0.924,0.901
0.943,0.029,0.812,0.829,0.902
0.914,0.0,0.818,0.962,0.891
0.943,0.0,0.816,0.921,0.901
0.943,0.0,0.814,0.955,0.901
0.914,0.0,0.822,0.949,0.89
0.971,0.0,0.805,0.887,0.912
0.943,0.029,0.818,0.836,0.901
0.943,0.029,0.812,0.827,0.902
0.943,0.0,0.815,0.915,0.901
0.943,0.0,0.828,0.959,0.899
0.943,0.0,0.798,0.863,0.904
0.914,0.0,0.817,0.899,0.891
0.914,0.0,0.807,0.902,0.893
0.971,0.0,0.821,0.931,0.91
0.943,0.0,0.821,0.986,0.9
0.914,0.0,0.812,0.911,0.892
0.914,0.0,0.806,0.908,0.893
0.914,0.03,0.857,1.033,0.885
0.943,0.029,0.849,0.957,0.896
0.286,0.545,1.721,3.856,0.516
0.286,0.615,1.868,4.333,0.491
0.714,0.074,1.28,2.68,0.734
0.286,0.583,1.836,4.245,0.495
0.343,0.4,1.875,4.35,0.508
