Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.0,0.0,20.514,72.151,0.006
0.0,1.0,20.785,73.726,0.006
0.0,1.0,20.903,74.165,0.006
0.0,0.0,20.766,72.627,0.006
0.0,1.0,21.024,74.577,0.006
0.0,0.0,21.577,75.831,0.006
0.0,0.0,21.553,77.031,0.006
0.0,0.0,21.762,77.747,0.006
0.031,0.667,6.105,22.35,0.072
0.0,1.0,6.171,20.184,0.069
0.0,0.0,6.383,22.046,0.061
0.0,0.0,8.019,29.374,0.037
0.0,0.0,7.036,24.623,0.05
0.0,0.0,9.516,30.528,0.032
0.0,0.0,8.273,27.102,0.04
0.0,0.0,8.046,26.66,0.042
0.0,0.0,11.347,36.468,0.023
0.0,0.0,10.725,37.706,0.023
0.0,0.0,10.526,34.582,0.026
0.0,0.0,25.865,91.456,0.004
0.0,0.0,11.376,40.474,0.02
0.0,0.0,12.569,41.666,0.018
0.0,0.0,12.955,45.003,0.016
0.0,0.0,12.419,40.095,0.019
0.0,0.0,12.095,44.453,0.017
