Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.984,0.116,0.86,0.922,0.908
0.919,0.123,0.918,1.174,0.876
0.919,0.109,0.931,1.189,0.874
0.935,0.094,0.935,1.188,0.879
0.919,0.109,0.919,1.174,0.876
0.984,0.116,0.842,0.928,0.911
0.968,0.118,0.84,0.93,0.906
0.935,0.121,0.953,1.189,0.876
0.968,0.118,0.859,0.949,0.903
0.984,0.103,1.207,0.867,0.86
0.968,0.118,0.873,0.91,0.901
0.984,0.103,1.229,0.901,0.857
0.968,0.104,1.228,0.879,0.852
0.952,0.119,1.029,0.871,0.874
0.968,0.104,1.076,0.877,0.873
0.919,0.109,0.931,1.164,0.874
0.919,0.109,0.955,1.174,0.871
0.968,0.118,0.918,0.87,0.895
0.919,0.123,0.951,1.196,0.871
0.919,0.109,0.934,1.16,0.874
0.935,0.121,0.996,1.139,0.871
0.984,0.129,0.916,0.889,0.9
0.935,0.108,0.961,0.944,0.878
0.919,0.109,0.953,1.169,0.871
0.935,0.121,0.957,1.05,0.877
