Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.963,0.133,1.088,1.939,0.856
1.0,0.129,1.068,1.938,0.871
1.0,0.129,1.079,1.935,0.87
1.0,0.129,1.109,1.899,0.866
1.0,0.129,1.115,1.976,0.864
0.963,0.133,1.072,1.936,0.859
1.0,0.129,1.09,1.983,0.868
1.0,0.129,1.095,1.91,0.868
1.0,0.129,1.254,1.987,0.846
1.0,0.129,1.096,1.962,0.867
1.0,0.129,1.202,1.962,0.853
1.0,0.129,1.128,2.013,0.862
0.963,0.133,1.118,1.958,0.852
1.0,0.129,1.118,1.989,0.864
1.0,0.129,1.294,1.997,0.84
1.0,0.129,1.249,1.992,0.846
1.0,0.129,1.126,1.933,0.863
1.0,0.129,1.305,1.931,0.84
1.0,0.129,1.357,1.9,0.834
1.0,0.129,1.21,1.923,0.852
1.0,0.129,1.179,1.924,0.856
1.0,0.129,1.327,1.913,0.838
1.0,0.129,1.096,1.92,0.868
1.0,0.129,1.107,1.921,0.866
0.0,1.0,10.485,30.111,0.031
