Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.709,0.22,2.092,5.027,0.597
0.7,0.245,2.064,4.935,0.598
0.709,0.235,2.099,5.025,0.596
0.7,0.238,2.116,5.063,0.591
0.7,0.222,2.065,4.937,0.598
0.7,0.214,2.076,4.964,0.596
0.709,0.235,2.057,4.911,0.602
0.709,0.235,2.032,4.853,0.605
0.718,0.218,1.925,4.564,0.624
0.709,0.243,2.1,5.041,0.596
0.7,0.28,2.059,4.917,0.599
0.718,0.248,1.91,4.569,0.625
0.709,0.235,2.037,4.889,0.604
0.727,0.245,1.93,4.622,0.625
0.709,0.25,1.896,4.532,0.624
0.718,0.255,1.876,4.481,0.63
0.7,0.222,1.937,4.617,0.616
0.709,0.235,1.91,4.555,0.622
0.709,0.243,1.89,4.501,0.626
0.718,0.248,1.877,4.472,0.63
0.736,0.221,2.012,4.812,0.617
0.3,0.602,2.106,5.081,0.458
0.282,0.644,2.296,5.609,0.426
0.318,0.573,2.075,5.016,0.468
0.318,0.578,2.282,5.55,0.44
