Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.0,1.0,6.788,22.61,0.057
0.0,1.0,6.73,22.429,0.058
0.0,1.0,6.68,22.266,0.058
0.0,1.0,6.683,22.279,0.058
0.0,1.0,6.81,22.682,0.056
0.0,1.0,6.81,22.681,0.056
0.0,1.0,6.806,22.648,0.057
0.0,1.0,6.738,22.457,0.058
0.0,1.0,6.737,22.453,0.058
0.0,1.0,6.718,22.39,0.058
0.0,1.0,6.727,22.424,0.058
0.0,1.0,6.872,22.866,0.056
0.0,1.0,6.837,22.767,0.056
0.0,1.0,6.655,22.174,0.059
0.0,1.0,6.791,22.622,0.057
0.0,1.0,6.816,22.71,0.056
0.0,1.0,6.957,23.153,0.054
0.0,1.0,6.731,22.424,0.058
0.0,1.0,6.637,22.12,0.059
0.0,1.0,6.653,22.173,0.059
0.0,1.0,6.747,22.492,0.057
0.0,1.0,6.712,22.364,0.058
0.0,1.0,6.734,22.461,0.058
0.0,1.0,6.702,22.358,0.058
0.0,1.0,7.011,23.328,0.054
