Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.892,0.132,0.59,0.771,0.917
0.919,0.128,0.588,0.754,0.926
0.865,0.135,0.618,0.784,0.904
0.919,0.128,0.598,0.774,0.924
0.892,0.132,0.595,0.768,0.916
0.892,0.154,0.65,0.857,0.908
0.892,0.154,0.662,0.856,0.906
0.892,0.154,0.639,0.835,0.91
0.892,0.154,0.599,0.822,0.915
0.892,0.154,0.659,0.86,0.907
0.892,0.154,0.606,0.807,0.914
0.892,0.154,0.675,0.862,0.904
0.892,0.154,0.605,0.809,0.914
0.892,0.154,0.612,0.813,0.913
0.892,0.154,0.532,0.829,0.924
0.892,0.154,0.532,0.801,0.924
0.919,0.15,0.536,0.794,0.932
0.919,0.15,0.538,0.808,0.932
0.892,0.154,0.542,0.831,0.922
0.892,0.154,0.597,0.811,0.915
0.892,0.132,0.579,0.861,0.917
0.892,0.132,0.583,0.878,0.917
0.865,0.158,0.597,0.885,0.906
0.865,0.135,0.628,0.92,0.901
0.892,0.132,0.6,0.864,0.915
