Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.756,0.32,0.853,2.156,0.817
0.767,0.303,0.841,2.065,0.824
0.778,0.286,0.816,2.036,0.832
0.767,0.324,0.864,2.179,0.819
0.778,0.286,0.855,2.12,0.825
0.767,0.317,1.288,2.143,0.761
0.756,0.292,0.963,2.136,0.801
0.733,0.298,0.952,2.109,0.796
0.733,0.275,1.268,2.148,0.752
0.744,0.316,0.939,2.117,0.802
0.789,0.317,1.286,2.114,0.769
0.756,0.292,1.257,2.098,0.762
0.756,0.333,1.28,2.137,0.758
0.744,0.287,1.255,2.092,0.759
0.744,0.302,0.927,2.117,0.803
0.756,0.306,1.29,2.149,0.757
0.733,0.298,0.948,2.124,0.796
0.733,0.347,0.925,2.138,0.799
0.722,0.343,0.927,2.096,0.796
0.722,0.343,1.02,2.181,0.781
0.767,0.31,1.293,2.147,0.76
0.756,0.32,0.994,2.182,0.796
0.767,0.289,0.963,2.144,0.805
0.744,0.323,0.993,2.14,0.793
0.722,0.343,0.986,2.135,0.787
