Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.92,0.115,0.745,0.783,0.905
0.907,0.117,0.734,0.766,0.902
0.907,0.128,0.716,0.816,0.904
0.907,0.117,0.714,0.789,0.905
0.867,0.145,1.092,1.987,0.823
0.88,0.143,1.085,1.967,0.829
0.92,0.104,0.703,0.759,0.911
0.92,0.104,0.656,0.743,0.917
0.867,0.145,0.974,1.81,0.842
0.893,0.141,0.954,1.724,0.855
0.867,0.145,0.933,1.747,0.849
0.867,0.133,1.014,1.902,0.835
0.88,0.154,0.979,1.806,0.846
0.867,0.145,0.953,1.772,0.846
0.867,0.156,1.048,1.952,0.83
0.88,0.154,0.949,1.635,0.853
0.867,0.133,1.018,1.84,0.836
0.867,0.156,0.924,1.685,0.851
0.88,0.154,0.962,1.752,0.849
0.88,0.143,0.904,1.551,0.86
0.88,0.143,0.981,1.809,0.846
0.867,0.145,0.999,1.856,0.838
0.88,0.154,0.982,1.788,0.846
0.853,0.158,0.981,1.818,0.837
0.707,0.232,2.43,3.367,0.616
