Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.887,0.113,1.193,0.825,0.83
0.901,0.111,1.188,0.819,0.836
0.93,0.108,1.18,0.81,0.846
0.915,0.11,1.184,0.813,0.841
0.915,0.11,1.178,0.807,0.842
0.901,0.099,1.167,0.867,0.838
0.901,0.111,1.171,0.895,0.837
0.901,0.099,1.176,0.896,0.837
0.901,0.086,1.176,0.866,0.837
0.901,0.099,1.186,0.915,0.835
0.944,0.095,1.151,0.829,0.855
0.93,0.096,1.147,0.822,0.851
0.93,0.108,1.211,0.954,0.841
0.93,0.096,1.155,0.848,0.849
0.944,0.082,1.153,0.845,0.854
0.887,0.087,1.148,0.775,0.837
0.915,0.085,1.142,0.777,0.847
0.944,0.095,1.14,0.813,0.856
0.944,0.107,1.196,0.961,0.847
0.915,0.11,1.198,0.929,0.838
0.915,0.085,1.14,0.75,0.847
0.915,0.097,1.199,0.971,0.838
0.915,0.11,1.2,0.957,0.838
0.887,0.087,1.144,0.786,0.837
0.901,0.099,1.151,0.787,0.841
