Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.888,0.132,1.35,2.904,0.779
0.888,0.132,1.321,2.822,0.784
0.888,0.132,1.35,2.913,0.778
0.888,0.132,1.331,2.854,0.782
0.888,0.132,1.351,2.912,0.778
0.865,0.125,1.292,2.773,0.781
0.865,0.125,1.303,2.801,0.779
0.876,0.133,1.297,2.774,0.784
0.876,0.152,1.374,2.986,0.77
0.854,0.126,1.271,2.731,0.781
0.865,0.144,1.39,2.962,0.765
0.888,0.141,1.334,2.985,0.779
0.888,0.151,1.365,2.992,0.775
0.843,0.128,1.335,2.792,0.768
0.854,0.126,1.305,2.778,0.775
0.888,0.132,1.351,2.868,0.779
0.888,0.151,1.357,2.989,0.776
0.876,0.114,1.353,2.877,0.775
0.854,0.146,1.359,2.894,0.766
0.843,0.118,1.334,2.799,0.768
0.843,0.138,1.354,2.858,0.764
0.876,0.124,1.369,2.937,0.772
0.876,0.114,1.364,2.919,0.773
0.843,0.138,1.356,2.872,0.764
0.876,0.124,1.36,2.915,0.773
