Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.786,0.057,1.527,2.998,0.722
0.857,0.077,1.213,2.322,0.797
0.786,0.057,1.429,2.766,0.738
0.857,0.053,1.218,2.322,0.797
0.857,0.053,1.217,2.329,0.797
0.857,0.077,1.214,2.327,0.797
0.857,0.053,1.211,2.32,0.798
0.881,0.026,1.293,2.542,0.791
0.857,0.077,1.297,2.516,0.783
0.833,0.054,1.329,2.533,0.771
0.81,0.056,1.312,2.504,0.765
0.857,0.027,1.29,2.525,0.784
0.857,0.053,1.285,2.468,0.785
0.857,0.053,1.28,2.473,0.786
0.857,0.053,1.286,2.495,0.785
0.881,0.026,1.266,2.476,0.796
0.857,0.053,1.305,2.501,0.782
0.857,0.027,1.275,2.487,0.786
0.857,0.027,1.272,2.482,0.787
0.786,0.057,1.502,2.97,0.725
0.857,0.053,1.23,2.312,0.795
0.857,0.027,1.22,2.3,0.797
0.833,0.028,1.396,2.681,0.76
0.286,0.625,3.386,8.234,0.322
0.286,0.647,3.286,7.943,0.331
