Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.897,0.152,0.824,1.105,0.883
0.874,0.156,0.838,1.134,0.873
0.874,0.136,0.852,1.186,0.87
0.885,0.172,0.944,1.239,0.86
0.851,0.149,0.883,1.149,0.858
0.874,0.136,0.889,1.207,0.865
0.874,0.183,0.944,1.225,0.857
0.46,0.5,2.919,4.497,0.483
0.483,0.488,2.907,4.46,0.492
0.517,0.483,2.951,4.465,0.502
0.506,0.488,2.921,4.169,0.507
0.517,0.471,2.886,4.161,0.512
0.506,0.405,2.743,4.412,0.508
0.517,0.392,2.551,4.02,0.53
0.253,0.768,3.251,5.463,0.379
0.218,0.796,3.381,6.134,0.347
0.345,0.684,3.003,4.792,0.434
0.253,0.766,3.475,6.107,0.356
0.517,0.451,2.555,3.705,0.538
0.506,0.397,2.474,3.59,0.541
0.448,0.512,2.691,4.72,0.483
0.506,0.476,2.523,3.755,0.535
0.322,0.708,2.974,4.818,0.427
0.54,0.453,2.31,3.396,0.566
0.46,0.54,2.882,5.147,0.468
