Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.14,0.83,4.509,12.132,0.19
0.123,0.851,4.499,12.125,0.184
0.14,0.83,4.461,11.973,0.192
0.105,0.87,4.616,12.639,0.171
0.14,0.83,4.487,12.12,0.19
0.123,0.848,4.503,12.119,0.184
0.123,0.851,4.603,12.617,0.177
0.105,0.87,4.626,12.674,0.17
0.123,0.851,4.625,12.684,0.176
0.105,0.87,4.621,12.666,0.17
0.123,0.848,4.497,12.16,0.184
0.123,0.851,4.504,12.203,0.183
0.123,0.851,4.522,12.227,0.183
0.123,0.857,4.553,12.346,0.181
0.14,0.84,4.562,12.39,0.186
0.123,0.857,4.576,12.414,0.18
0.123,0.851,4.509,12.217,0.183
0.14,0.84,4.554,12.355,0.186
0.123,0.857,4.553,12.34,0.181
0.123,0.851,4.486,12.151,0.184
0.123,0.854,4.51,12.344,0.181
0.123,0.86,4.482,12.229,0.183
0.123,0.848,4.491,12.278,0.182
0.123,0.851,4.501,12.326,0.182
0.123,0.857,4.479,12.239,0.183
