Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.919,0.105,0.93,2.117,0.861
0.919,0.081,0.925,2.105,0.862
0.919,0.105,0.935,2.116,0.86
0.919,0.081,0.888,2.038,0.868
0.919,0.105,0.937,2.123,0.86
0.946,0.054,0.384,1.051,0.956
0.946,0.054,0.391,1.07,0.956
0.919,0.081,0.899,2.057,0.866
0.946,0.054,0.386,1.053,0.956
0.946,0.054,0.383,1.046,0.957
0.946,0.054,0.395,1.133,0.955
0.946,0.054,0.392,1.118,0.955
0.946,0.054,0.396,1.137,0.954
0.946,0.054,0.394,1.08,0.955
0.946,0.054,0.399,1.14,0.954
0.946,0.054,0.392,1.124,0.955
0.919,0.081,0.874,2.023,0.871
0.946,0.079,0.836,2.017,0.885
0.946,0.103,0.838,2.03,0.885
0.946,0.125,0.839,2.059,0.884
0.919,0.081,0.915,2.081,0.864
0.919,0.081,0.901,2.052,0.866
0.919,0.128,0.904,2.056,0.866
0.919,0.081,0.896,2.045,0.867
0.973,0.027,0.387,1.116,0.965
