Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.915,0.065,0.448,0.709,0.942
0.915,0.085,0.454,0.712,0.941
0.915,0.044,0.454,0.72,0.941
0.936,0.064,0.446,0.705,0.949
0.936,0.064,0.496,0.9,0.942
0.936,0.12,2.045,0.718,0.76
0.915,0.044,0.458,0.701,0.941
0.936,0.102,2.052,0.704,0.759
0.894,0.087,2.016,0.775,0.747
0.915,0.122,2.043,0.717,0.753
0.936,0.12,2.051,0.718,0.759
0.957,0.1,0.491,0.871,0.95
0.915,0.104,2.029,0.754,0.754
0.936,0.064,0.553,0.86,0.935
0.915,0.122,1.861,0.697,0.767
0.936,0.043,0.546,0.845,0.936
0.936,0.083,0.504,0.886,0.941
0.957,0.043,0.545,0.841,0.944
0.936,0.064,0.54,0.854,0.937
0.936,0.043,0.55,0.853,0.936
0.957,0.062,0.528,0.875,0.946
0.957,0.043,0.518,0.858,0.947
0.957,0.062,0.506,0.833,0.949
0.957,0.062,0.508,0.832,0.948
0.957,0.062,0.512,0.846,0.948
