Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.61,0.242,6.543,5.084,0.465
0.61,0.324,6.79,5.231,0.461
0.61,0.324,6.761,5.256,0.46
0.61,0.242,6.511,4.889,0.471
0.61,0.242,6.493,5.037,0.467
0.61,0.167,6.525,4.792,0.473
0.61,0.242,6.932,5.557,0.452
0.61,0.342,6.655,5.204,0.462
0.61,0.167,7.019,5.214,0.46
0.61,0.167,6.171,4.423,0.484
0.61,0.194,6.869,5.076,0.464
0.61,0.194,6.805,5.026,0.466
0.61,0.265,6.86,5.343,0.457
0.61,0.265,6.824,5.347,0.457
0.61,0.242,6.981,5.255,0.459
0.61,0.265,6.792,5.211,0.461
0.61,0.242,6.172,4.37,0.486
0.61,0.265,6.449,5.133,0.465
0.61,0.138,6.395,4.634,0.478
0.61,0.242,6.77,5.418,0.456
0.049,0.905,10.09,17.801,0.085
0.098,0.862,10.362,20.508,0.088
0.098,0.892,10.231,19.242,0.094
0.146,0.75,9.763,18.092,0.117
0.073,0.85,9.143,18.619,0.091
