Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.14,0.794,4.634,11.9,0.191
0.12,0.765,5.572,13.962,0.153
0.03,0.919,10.282,26.254,0.049
0.02,0.963,10.311,27.231,0.043
0.0,1.0,8.491,22.281,0.052
0.0,1.0,9.099,25.168,0.043
0.02,0.947,14.922,39.242,0.025
0.3,0.211,4.686,11.244,0.252
0.01,0.98,6.104,15.846,0.097
0.0,1.0,9.529,25.655,0.041
0.0,1.0,7.622,19.366,0.066
0.06,0.891,6.294,16.942,0.105
0.03,0.932,10.422,26.581,0.048
0.01,0.981,7.872,19.976,0.066
0.25,0.306,5.806,14.447,0.19
0.01,0.983,12.89,33.673,0.028
0.0,1.0,13.859,37.382,0.02
0.04,0.895,13.337,33.944,0.037
0.0,1.0,15.744,42.117,0.016
0.0,1.0,14.822,38.737,0.019
0.04,0.867,13.257,34.146,0.037
0.0,1.0,13.977,37.094,0.02
0.0,1.0,9.158,23.658,0.047
0.0,1.0,11.545,30.83,0.029
0.04,0.907,7.619,20.135,0.076
0.0,1.0,15.102,39.292,0.018
0.04,0.911,11.216,28.761,0.046
0.08,0.849,12.434,31.427,0.054
0.01,0.975,10.205,25.871,0.043
0.03,0.941,11.911,30.342,0.039
0.06,0.882,10.834,28.113,0.054
0.0,1.0,15.473,41.627,0.016
0.02,0.958,7.621,20.635,0.067
0.0,1.0,11.574,31.986,0.027
0.0,1.0,14.185,38.686,0.019
0.0,1.0,14.34,37.755,0.02
0.0,1.0,13.696,36.387,0.021
0.04,0.926,10.372,26.96,0.05
0.01,0.967,10.831,27.592,0.038
0.0,1.0,7.637,19.21,0.067
0.0,1.0,15.982,42.284,0.016
0.0,1.0,14.672,38.683,0.019
0.0,1.0,11.014,29.72,0.031
0.0,1.0,10.444,27.925,0.035
0.0,1.0,11.246,31.512,0.028
0.05,0.848,7.056,18.055,0.092
0.0,1.0,13.458,35.12,0.023
0.0,1.0,13.641,35.82,0.022
0.0,1.0,13.525,35.73,0.022
0.0,1.0,14.748,39.035,0.019
0.04,0.886,4.881,12.391,0.149
0.0,1.0,12.636,32.337,0.026
0.01,0.974,13.991,37.825,0.023
0.0,1.0,14.476,39.821,0.018
0.0,1.0,15.487,40.717,0.017
0.0,1.0,11.192,29.862,0.031
0.0,1.0,10.417,28.606,0.034
0.0,1.0,10.693,28.436,0.034
0.0,1.0,15.017,40.12,0.018
0.12,0.739,6.623,17.763,0.118
0.0,1.0,10.404,27.903,0.035
0.0,1.0,15.094,40.262,0.017
0.05,0.889,11.027,27.254,0.052
0.0,1.0,15.336,40.777,0.017
0.06,0.875,12.279,31.024,0.048
0.02,0.941,5.294,13.626,0.125
0.22,0.56,3.088,6.587,0.345
0.02,0.943,10.924,28.19,0.041
0.04,0.875,11.354,28.835,0.046
0.0,1.0,12.593,35.409,0.023
0.0,1.0,12.133,32.441,0.026
0.01,0.979,11.376,28.555,0.036
0.0,1.0,10.137,27.042,0.037
0.0,1.0,10.788,29.602,0.032
0.0,1.0,15.241,41.735,0.016
0.03,0.93,9.175,23.703,0.057
0.09,0.786,12.251,30.9,0.058
0.0,1.0,13.121,34.297,0.024
0.01,0.978,8.821,23.031,0.053
0.0,1.0,8.706,23.694,0.048
0.01,0.975,9.522,24.008,0.049
0.07,0.759,4.649,11.643,0.171
0.08,0.765,8.285,21.075,0.084
0.0,1.0,13.09,34.174,0.024
0.0,1.0,12.622,32.263,0.026
0.0,1.0,8.739,22.617,0.051
0.0,1.0,8.152,22.225,0.053
0.04,0.886,11.337,29.366,0.045
0.0,1.0,14.823,38.515,0.019
0.0,1.0,13.893,37.442,0.02
0.01,0.981,8.147,21.73,0.058
0.07,0.829,8.919,22.544,0.074
0.04,0.897,8.782,22.722,0.064
0.0,1.0,16.178,44.276,0.015
0.04,0.917,10.284,25.571,0.053
0.0,1.0,12.496,32.266,0.026
0.01,0.979,10.347,27.624,0.039
0.07,0.851,6.115,15.685,0.118
0.0,1.0,13.329,37.438,0.021
0.0,1.0,13.993,38.901,0.019
