Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.536,0.268,1.43,3.428,0.64
0.268,0.659,3.002,8.474,0.323
0.321,0.455,2.126,5.55,0.452
0.0,1.0,5.349,15.249,0.103
0.25,0.641,3.212,8.824,0.303
0.464,0.235,2.884,7.76,0.408
0.018,0.97,9.937,27.431,0.043
0.232,0.581,3.081,8.548,0.307
0.107,0.75,3.647,9.838,0.226
0.143,0.789,7.874,20.783,0.107
0.0,1.0,9.084,25.797,0.041
0.018,0.971,7.607,21.825,0.062
0.0,1.0,10.626,29.584,0.032
0.054,0.893,7.23,18.718,0.089
0.0,1.0,10.558,29.066,0.033
0.0,1.0,10.923,31.224,0.029
0.0,1.0,8.479,24.697,0.045
0.018,0.971,6.413,18.206,0.083
0.089,0.848,7.265,18.809,0.1
0.036,0.935,9.488,25.98,0.052
0.036,0.947,4.173,12.008,0.161
0.054,0.864,4.805,13.163,0.146
0.018,0.958,8.145,21.628,0.061
0.0,1.0,9.43,27.094,0.038
0.0,1.0,10.248,28.126,0.035
0.0,1.0,8.91,25.091,0.044
0.071,0.846,10.436,29.189,0.057
0.036,0.917,6.586,17.341,0.093
0.036,0.931,5.487,14.825,0.118
0.0,1.0,9.761,27.073,0.038
0.161,0.719,4.027,10.73,0.223
0.0,1.0,7.106,19.32,0.068
0.214,0.684,4.241,11.447,0.227
0.036,0.943,6.933,19.693,0.079
0.0,1.0,7.91,22.612,0.053
0.179,0.688,7.108,19.357,0.128
0.0,1.0,5.288,15.215,0.104
0.018,0.968,7.603,20.898,0.066
0.268,0.4,2.562,6.767,0.378
0.107,0.824,7.046,18.264,0.11
0.071,0.862,6.811,17.665,0.102
0.107,0.793,4.203,11.387,0.193
0.0,1.0,10.171,28.569,0.034
0.018,0.971,8.323,22.323,0.059
0.143,0.704,3.655,9.808,0.239
0.268,0.5,6.4,17.469,0.17
0.054,0.833,5.697,15.419,0.117
0.0,1.0,8.848,25.607,0.042
0.0,1.0,10.566,29.467,0.032
0.143,0.692,8.147,21.692,0.103
0.018,0.96,6.624,17.446,0.086
0.125,0.788,5.394,14.434,0.151
0.286,0.467,3.432,9.505,0.297
0.036,0.92,6.873,18.011,0.088
0.0,1.0,10.406,29.472,0.032
0.0,1.0,5.862,17.268,0.086
0.0,1.0,8.826,25.265,0.043
0.054,0.909,9.059,24.802,0.062
0.0,1.0,10.079,28.236,0.035
0.107,0.727,3.732,10.242,0.218
0.089,0.821,10.124,27.823,0.065
0.0,1.0,10.839,29.701,0.031
0.071,0.879,9.09,24.921,0.067
0.0,1.0,9.974,27.863,0.036
0.0,1.0,8.251,23.839,0.048
0.304,0.553,3.553,10.286,0.287
0.0,1.0,9.429,26.057,0.04
0.054,0.864,6.059,15.859,0.111
0.0,1.0,9.422,26.16,0.04
0.0,1.0,9.114,25.849,0.041
0.0,1.0,9.958,28.465,0.035
0.054,0.893,9.358,25.729,0.059
0.125,0.788,4.558,12.788,0.176
0.0,1.0,9.335,26.287,0.04
0.0,1.0,10.798,30.17,0.031
0.0,1.0,9.806,27.03,0.038
0.0,1.0,10.844,30.16,0.031
0.0,1.0,11.009,30.167,0.031
0.0,1.0,9.564,27.357,0.037
0.125,0.75,4.417,12.012,0.187
0.071,0.875,6.762,17.455,0.103
0.143,0.758,3.121,8.85,0.27
0.036,0.929,5.833,17.102,0.099
0.179,0.756,8.973,24.096,0.105
0.0,1.0,8.713,24.997,0.044
0.0,1.0,9.248,26.053,0.041
0.0,1.0,9.335,25.949,0.041
0.089,0.773,4.462,12.082,0.174
0.0,1.0,11.686,32.465,0.027
0.018,0.955,5.162,14.491,0.117
0.0,1.0,9.142,25.007,0.043
0.0,1.0,11.351,31.323,0.029
0.0,1.0,10.96,30.542,0.03
0.0,1.0,9.964,27.616,0.036
0.107,0.786,3.155,8.339,0.267
0.0,1.0,10.15,28.059,0.035
0.0,1.0,9.182,25.946,0.041
0.0,1.0,7.89,22.2,0.054
0.0,1.0,5.937,17.098,0.086
0.0,1.0,9.838,27.328,0.037
