Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.939,0.139,0.433,0.734,0.952
0.0,1.0,8.911,25.959,0.041
0.061,0.946,7.902,21.688,0.076
0.0,1.0,7.861,23.192,0.051
0.0,1.0,11.481,30.246,0.03
0.0,1.0,13.875,40.241,0.018
0.0,1.0,9.392,26.963,0.038
0.03,0.971,6.819,19.612,0.078
0.0,1.0,7.912,24.185,0.048
0.03,0.966,7.176,21.743,0.068
0.0,1.0,11.026,29.918,0.031
0.0,1.0,6.539,19.382,0.07
0.0,1.0,10.443,29.473,0.032
0.03,0.966,9.461,25.925,0.051
0.152,0.848,4.739,10.431,0.214
0.0,1.0,11.697,33.055,0.026
0.03,0.968,7.888,21.262,0.068
0.0,1.0,9.667,27.84,0.036
0.03,0.971,8.465,22.558,0.062
0.515,0.37,2.541,6.247,0.474
0.0,1.0,10.548,29.14,0.033
0.0,1.0,10.356,28.817,0.034
0.0,1.0,8.184,23.163,0.05
0.0,1.0,7.77,23.559,0.05
0.0,1.0,8.431,24.664,0.046
0.242,0.68,4.711,10.647,0.241
0.0,1.0,13.082,37.935,0.02
0.03,0.966,10.298,27.615,0.046
0.03,0.971,7.23,20.198,0.074
0.0,1.0,9.692,26.09,0.04
0.182,0.793,4.496,9.931,0.235
0.0,1.0,14.068,42.035,0.017
0.0,1.0,8.278,24.125,0.047
0.0,1.0,8.684,25.973,0.042
0.0,1.0,9.509,26.707,0.039
0.0,1.0,10.133,29.166,0.033
0.03,0.966,7.346,21.243,0.069
0.0,1.0,10.026,28.623,0.034
0.03,0.96,8.541,23.937,0.057
0.0,1.0,8.616,24.15,0.047
0.0,1.0,8.4,22.176,0.053
0.0,1.0,12.649,34.626,0.024
0.0,1.0,13.722,40.393,0.018
0.0,1.0,13.887,40.953,0.018
0.0,1.0,8.396,24.223,0.047
0.03,0.967,7.411,21.44,0.068
0.0,1.0,8.532,25.111,0.044
0.0,1.0,14.328,41.701,0.017
0.0,1.0,9.291,26.856,0.039
0.0,1.0,6.961,20.942,0.062
0.0,1.0,8.574,23.975,0.047
0.0,1.0,7.527,21.669,0.057
0.182,0.76,5.068,11.538,0.205
0.0,1.0,11.746,32.255,0.027
0.0,1.0,7.359,22.276,0.056
0.03,0.957,8.242,24.295,0.057
0.091,0.903,9.281,24.642,0.074
0.0,1.0,10.355,27.85,0.035
0.0,1.0,9.347,26.269,0.04
0.0,1.0,11.939,35.488,0.023
0.0,1.0,10.926,29.74,0.031
0.0,1.0,7.908,22.442,0.053
0.0,1.0,14.398,40.585,0.018
0.121,0.867,2.575,5.964,0.348
0.242,0.784,4.626,10.114,0.25
0.0,1.0,8.999,25.01,0.044
0.0,1.0,8.376,23.848,0.048
0.0,1.0,7.886,22.348,0.054
0.0,1.0,7.617,20.256,0.062
0.0,1.0,8.327,25.177,0.045
0.152,0.821,7.586,20.271,0.113
0.0,1.0,11.627,32.808,0.026
0.03,0.97,7.904,20.757,0.07
0.0,1.0,8.426,23.06,0.05
0.0,1.0,14.166,42.46,0.017
0.03,0.971,7.85,21.534,0.067
0.0,1.0,8.995,25.352,0.043
0.212,0.708,3.626,9.182,0.273
0.0,1.0,8.298,23.645,0.049
0.242,0.652,2.316,5.378,0.417
0.061,0.923,6.576,18.824,0.093
0.152,0.783,4.307,10.883,0.213
0.0,1.0,12.118,33.216,0.026
0.091,0.921,7.506,21.459,0.088
0.364,0.52,3.166,8.783,0.344
0.061,0.926,5.623,14.522,0.127
0.0,1.0,10.779,30.53,0.03
0.121,0.84,4.629,10.047,0.211
0.0,1.0,14.319,41.253,0.017
0.0,1.0,7.188,21.509,0.059
0.152,0.762,4.709,11.018,0.206
0.0,1.0,7.508,21.369,0.058
0.0,1.0,10.23,30.749,0.031
0.03,0.966,7.97,22.09,0.064
0.0,1.0,11.238,33.381,0.026
0.03,0.958,5.5,16.486,0.103
0.0,1.0,9.459,26.725,0.039
0.0,1.0,9.615,28.828,0.035
0.0,1.0,9.897,27.815,0.036
0.0,1.0,11.291,31.332,0.029
