Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.911,0.128,0.885,1.835,0.869
0.156,0.829,5.727,11.359,0.193
0.2,0.786,5.304,10.566,0.222
0.022,0.967,3.851,8.329,0.221
0.111,0.783,3.929,8.631,0.244
0.178,0.75,5.434,10.793,0.21
0.244,0.667,2.639,5.575,0.396
0.156,0.821,5.651,11.667,0.189
0.511,0.395,2.136,5.194,0.523
0.178,0.714,5.53,11.116,0.205
0.178,0.789,4.048,9.401,0.249
0.178,0.771,3.235,6.609,0.326
0.178,0.733,5.747,11.411,0.199
0.4,0.471,2.002,4.238,0.52
0.156,0.72,5.731,11.974,0.185
0.267,0.707,4.176,9.173,0.281
0.133,0.8,3.303,7.103,0.298
0.0,1.0,4.946,11.591,0.145
0.111,0.839,5.959,12.475,0.163
0.111,0.737,6.032,12.194,0.165
0.111,0.894,3.417,6.86,0.293
0.089,0.826,5.449,11.278,0.174
0.044,0.923,8.163,18.535,0.084
0.089,0.871,4.962,11.015,0.182
0.044,0.923,9.259,21.449,0.069
0.022,0.97,9.356,22.72,0.057
0.133,0.806,5.257,12.04,0.18
0.156,0.741,3.786,7.945,0.275
0.111,0.853,6.333,16.23,0.126
0.111,0.821,6.626,14.496,0.139
0.333,0.595,4.287,10.929,0.273
0.022,0.969,7.366,18.989,0.076
0.156,0.821,3.872,8.432,0.263
0.067,0.938,8.635,20.679,0.08
0.178,0.742,5.567,12.081,0.192
0.044,0.933,8.144,20.212,0.076
0.022,0.972,6.465,16.028,0.098
0.067,0.906,10.303,23.624,0.067
0.089,0.826,5.58,11.356,0.172
0.022,0.973,8.513,20.948,0.065
0.0,1.0,7.009,17.282,0.08
0.022,0.967,7.85,19.919,0.07
0.0,1.0,8.4,19.38,0.064
0.111,0.833,6.323,13.534,0.149
0.111,0.773,4.589,9.64,0.215
0.0,1.0,5.022,11.017,0.152
0.156,0.682,4.664,11.378,0.202
0.067,0.897,4.351,9.06,0.214
0.156,0.851,6.483,16.279,0.14
0.089,0.862,4.348,9.437,0.214
0.111,0.75,5.905,13.021,0.157
0.111,0.821,4.03,9.831,0.22
0.0,1.0,10.16,24.838,0.042
0.111,0.848,8.543,19.238,0.101
0.022,0.96,8.66,20.428,0.066
0.067,0.909,4.661,10.234,0.19
0.111,0.8,5.839,12.05,0.168
0.0,1.0,11.128,25.465,0.039
0.0,1.0,8.526,21.751,0.054
0.067,0.893,9.008,20.466,0.08
0.022,0.958,9.067,21.965,0.06
0.178,0.636,5.162,13.004,0.185
0.044,0.938,6.182,16.014,0.107
0.111,0.844,6.335,13.859,0.146
0.156,0.781,5.077,10.379,0.212
0.0,1.0,8.688,21.727,0.054
0.178,0.714,2.828,5.968,0.356
0.133,0.727,3.896,8.905,0.246
0.044,0.946,10.039,23.946,0.059
0.044,0.923,5.189,11.068,0.164
0.089,0.833,5.928,11.952,0.162
0.0,1.0,8.426,20.483,0.059
0.044,0.933,9.027,20.568,0.072
0.133,0.857,3.327,6.653,0.307
0.511,0.233,2.05,4.931,0.536
0.0,1.0,9.935,23.217,0.047
0.0,1.0,6.345,13.388,0.113
0.067,0.88,6.76,15.097,0.118
0.0,1.0,10.942,25.719,0.039
0.044,0.923,10.27,23.808,0.059
0.022,0.957,8.39,20.011,0.069
0.044,0.917,8.604,20.632,0.073
0.067,0.917,9.518,21.599,0.075
0.0,1.0,8.714,20.711,0.058
0.156,0.731,3.536,7.339,0.294
0.0,1.0,12.922,29.928,0.029
0.0,1.0,7.889,18.997,0.067
0.044,0.923,8.325,19.383,0.079
0.067,0.842,4.825,11.034,0.176
0.022,0.963,8.008,19.962,0.07
0.111,0.8,6.532,16.098,0.126
0.067,0.912,3.947,8.986,0.222
0.0,1.0,11.473,26.346,0.037
0.089,0.778,5.897,11.982,0.161
0.022,0.963,4.888,10.511,0.168
0.0,1.0,9.801,22.785,0.048
0.0,1.0,9.771,22.568,0.049
0.067,0.906,6.74,16.596,0.107
0.0,1.0,8.328,19.319,0.065
0.067,0.857,5.302,11.055,0.171
