Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.854,0.186,0.77,1.351,0.873
0.049,0.935,8.103,16.055,0.1
0.098,0.889,8.183,16.366,0.114
0.0,1.0,9.481,25.292,0.042
0.244,0.667,3.016,6.841,0.35
0.098,0.84,8.376,16.904,0.11
0.146,0.812,8.039,15.659,0.136
0.0,1.0,8.903,24.235,0.046
0.098,0.879,7.505,14.38,0.132
0.146,0.812,5.378,11.694,0.188
0.0,1.0,11.014,25.911,0.038
0.488,0.355,2.068,5.198,0.52
0.049,0.931,9.11,19.132,0.08
0.0,1.0,11.523,28.981,0.032
0.0,1.0,10.527,27.036,0.037
0.0,1.0,10.62,28.435,0.034
0.024,0.97,11.151,24.528,0.05
0.0,1.0,12.488,28.155,0.033
0.0,1.0,10.852,25.125,0.04
0.073,0.919,10.495,23.312,0.07
0.098,0.852,7.704,14.974,0.126
0.049,0.905,9.082,19.266,0.079
0.366,0.545,2.598,5.232,0.447
0.0,1.0,12.177,27.343,0.034
0.049,0.941,4.087,10.164,0.193
0.024,0.967,4.635,11.171,0.162
0.0,1.0,10.642,26.263,0.038
0.0,1.0,11.876,29.511,0.031
0.146,0.786,7.446,16.554,0.131
0.0,1.0,9.654,25.47,0.041
0.0,1.0,12.92,33.062,0.025
0.049,0.935,8.236,16.422,0.097
0.073,0.885,3.681,7.981,0.249
0.146,0.76,9.661,21.466,0.102
0.366,0.5,2.593,5.889,0.431
0.024,0.962,10.275,22.754,0.056
0.195,0.714,8.491,18.581,0.133
0.0,1.0,10.393,28.247,0.034
0.0,1.0,10.626,27.265,0.036
0.0,1.0,11.974,30.052,0.03
0.122,0.808,9.095,19.422,0.103
0.171,0.741,5.149,11.2,0.205
0.0,1.0,10.636,24.668,0.042
0.0,1.0,12.794,31.353,0.027
0.195,0.758,6.657,14.058,0.17
0.268,0.542,3.299,7.46,0.335
0.0,1.0,8.78,24.298,0.046
0.073,0.885,7.565,15.382,0.115
0.0,1.0,11.643,25.84,0.038
0.049,0.929,7.953,16.71,0.096
0.0,1.0,10.365,23.392,0.046
0.0,1.0,7.566,19.793,0.065
0.098,0.871,7.774,15.06,0.125
0.024,0.963,11.912,26.291,0.045
0.0,1.0,12.746,29.024,0.031
0.0,1.0,11.506,28.947,0.032
0.0,1.0,11.33,28.739,0.033
0.0,1.0,10.934,25.406,0.04
0.049,0.935,7.871,15.349,0.106
0.024,0.962,7.675,17.073,0.087
0.073,0.912,8.086,16.722,0.104
0.0,1.0,8.822,24.822,0.044
0.073,0.875,6.657,15.33,0.119
0.0,1.0,10.737,28.492,0.034
0.0,1.0,11.731,26.682,0.036
0.0,1.0,11.47,26.178,0.037
0.0,1.0,8.489,22.307,0.052
0.0,1.0,10.29,26.88,0.037
0.098,0.8,4.898,12.62,0.165
0.268,0.542,3.208,6.818,0.352
0.049,0.917,7.549,15.663,0.105
0.341,0.462,3.114,8.296,0.347
0.0,1.0,12.589,33.595,0.025
0.024,0.963,7.973,20.151,0.07
0.0,1.0,11.267,30.477,0.03
0.0,1.0,7.922,20.691,0.06
0.0,1.0,11.97,31.776,0.027
0.049,0.905,8.207,16.109,0.1
0.073,0.885,8.168,16.502,0.105
0.0,1.0,9.952,27.331,0.037
0.122,0.821,8.264,16.779,0.119
0.0,1.0,11.592,25.562,0.039
0.0,1.0,12.273,28.47,0.032
0.0,1.0,8.325,21.966,0.054
0.0,1.0,11.859,26.349,0.037
0.0,1.0,10.633,26.863,0.037
0.0,1.0,13.221,31.212,0.027
0.0,1.0,10.899,27.948,0.034
0.0,1.0,9.431,23.092,0.048
0.073,0.864,8.772,17.998,0.095
0.0,1.0,9.725,25.411,0.041
0.0,1.0,7.361,15.644,0.089
0.0,1.0,12.315,29.086,0.031
0.0,1.0,11.954,30.556,0.029
0.0,1.0,10.914,26.375,0.038
0.0,1.0,8.289,18.383,0.069
0.049,0.909,9.08,21.514,0.07
0.098,0.852,8.443,18.335,0.102
0.073,0.842,8.723,20.323,0.084
0.049,0.905,6.03,14.01,0.125
