Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.811,0.211,0.762,1.805,0.854
0.081,0.914,6.668,18.275,0.102
0.0,1.0,9.835,28.539,0.035
0.216,0.733,2.908,8.572,0.307
0.297,0.633,7.759,21.501,0.156
0.0,1.0,9.349,26.881,0.039
0.0,1.0,9.736,27.977,0.036
0.514,0.345,2.095,6.029,0.506
0.162,0.8,6.851,18.638,0.127
0.0,1.0,8.839,25.498,0.043
0.0,1.0,8.223,24.119,0.048
0.378,0.533,2.21,6.255,0.447
0.0,1.0,9.349,26.667,0.039
0.0,1.0,8.541,24.44,0.046
0.0,1.0,7.437,22.612,0.054
0.0,1.0,10.056,28.587,0.034
0.027,0.971,6.571,17.97,0.086
0.081,0.885,6.248,17.056,0.112
0.054,0.923,6.066,18.364,0.096
0.054,0.931,8.028,23.292,0.068
0.189,0.829,6.201,16.531,0.151
0.081,0.903,3.756,11.178,0.195
0.0,1.0,9.014,26.031,0.041
0.27,0.722,7.87,21.932,0.145
0.0,1.0,11.221,31.527,0.028
0.108,0.833,6.642,19.028,0.108
0.189,0.806,3.455,10.399,0.249
0.0,1.0,9.963,28.191,0.035
0.0,1.0,9.387,26.88,0.039
0.405,0.423,1.862,5.215,0.508
0.162,0.806,6.041,16.007,0.147
0.27,0.63,8.127,22.536,0.143
0.0,1.0,8.032,24.17,0.048
0.0,1.0,7.252,21.551,0.059
0.0,1.0,11.002,31.773,0.028
0.081,0.903,8.04,22.719,0.079
0.108,0.852,6.819,19.167,0.106
0.0,1.0,5.996,18.118,0.08
0.189,0.696,3.603,11.055,0.236
0.0,1.0,9.813,29.116,0.034
0.0,1.0,9.16,26.305,0.04
0.027,0.964,9.162,26.202,0.049
0.0,1.0,9.415,28.733,0.035
0.0,1.0,10.418,29.855,0.032
0.027,0.952,5.52,16.11,0.105
0.0,1.0,10.002,29.546,0.033
0.0,1.0,8.79,25.382,0.043
0.27,0.714,2.829,8.234,0.335
0.054,0.929,4.359,12.569,0.158
0.0,1.0,7.898,22.914,0.052
0.162,0.824,6.532,18.288,0.13
0.0,1.0,9.088,26.123,0.041
0.0,1.0,7.379,21.784,0.057
0.0,1.0,9.84,28.521,0.035
0.027,0.972,7.664,21.568,0.066
0.027,0.971,9.072,25.953,0.05
0.0,1.0,6.708,20.069,0.067
0.27,0.677,2.639,7.873,0.351
0.0,1.0,7.566,21.933,0.056
0.027,0.971,6.437,19.344,0.08
0.162,0.793,6.383,18.067,0.132
0.0,1.0,6.745,20.425,0.065
0.027,0.969,7.53,20.969,0.069
0.0,1.0,10.4,30.43,0.031
0.0,1.0,9.568,27.649,0.037
0.0,1.0,10.313,29.766,0.032
0.0,1.0,8.759,25.202,0.044
0.297,0.656,7.023,19.464,0.167
0.054,0.923,8.082,23.5,0.068
0.054,0.905,6.342,17.019,0.102
0.243,0.69,2.799,7.73,0.338
0.297,0.621,7.723,21.515,0.156
0.189,0.759,6.981,19.033,0.133
0.108,0.857,4.633,13.483,0.162
0.162,0.793,6.225,16.946,0.139
0.0,1.0,9.37,26.936,0.039
0.0,1.0,8.859,25.444,0.043
0.0,1.0,9.635,27.769,0.036
0.081,0.903,7.22,19.925,0.092
0.135,0.865,7.37,20.257,0.108
0.135,0.828,6.034,16.173,0.137
0.0,1.0,7.543,21.211,0.059
0.0,1.0,10.822,31.218,0.029
0.027,0.968,7.276,21.242,0.069
0.0,1.0,9.026,26.133,0.041
0.054,0.909,7.342,20.266,0.081
0.054,0.917,8.784,25.38,0.061
0.0,1.0,7.457,22.148,0.056
0.162,0.818,5.626,15.081,0.157
0.0,1.0,7.588,22.431,0.054
0.216,0.733,7.051,19.458,0.14
0.0,1.0,9.29,27.655,0.037
0.081,0.917,6.399,17.275,0.109
0.0,1.0,8.269,24.215,0.047
0.0,1.0,8.793,24.889,0.044
0.0,1.0,8.643,25.45,0.043
0.027,0.962,5.107,15.51,0.112
0.081,0.87,5.703,17.077,0.115
0.0,1.0,8.597,25.979,0.042
0.027,0.964,5.123,15.613,0.112
