Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.826,0.255,1.528,3.117,0.733
0.0,1.0,15.231,35.539,0.021
0.0,1.0,16.431,37.975,0.019
0.0,1.0,17.01,41.01,0.016
0.0,1.0,13.37,33.799,0.024
0.0,1.0,15.705,37.096,0.02
0.0,1.0,16.371,37.187,0.019
0.0,1.0,18.499,41.966,0.015
0.0,1.0,6.665,17.724,0.078
0.0,1.0,17.611,42.481,0.015
0.0,1.0,16.602,39.052,0.018
0.0,1.0,14.575,32.365,0.025
0.0,1.0,17.34,42.338,0.015
0.0,1.0,11.809,28.889,0.032
0.022,0.968,15.291,33.132,0.031
0.0,1.0,8.287,21.71,0.055
0.0,1.0,17.548,42.584,0.015
0.087,0.907,7.739,19.486,0.094
0.087,0.905,12.646,27.343,0.063
0.0,1.0,17.047,40.678,0.017
0.022,0.967,11.875,23.979,0.05
0.0,1.0,12.344,31.276,0.028
0.0,1.0,11.707,27.837,0.034
0.0,1.0,17.142,39.216,0.017
0.0,1.0,15.569,35.576,0.021
0.065,0.929,9.759,20.342,0.079
0.109,0.868,9.249,19.654,0.097
0.0,1.0,11.727,27.315,0.035
0.0,1.0,14.685,34.226,0.023
0.0,1.0,16.348,37.962,0.019
0.109,0.884,11.084,22.727,0.083
0.0,1.0,14.451,33.714,0.023
0.0,1.0,15.238,34.708,0.022
0.043,0.944,11.398,22.952,0.06
0.0,1.0,16.365,37.06,0.019
0.0,1.0,10.608,24.399,0.043
0.0,1.0,16.952,40.008,0.017
0.087,0.909,13.486,28.013,0.061
0.109,0.872,7.153,17.649,0.113
0.0,1.0,16.468,41.909,0.016
0.0,1.0,15.951,37.032,0.02
0.0,1.0,17.63,41.04,0.016
0.109,0.844,4.969,11.522,0.182
0.087,0.892,12.518,25.749,0.066
0.0,1.0,19.287,47.666,0.012
0.0,1.0,9.131,22.043,0.052
0.0,1.0,17.465,41.684,0.016
0.0,1.0,15.856,36.125,0.02
0.0,1.0,11.442,28.237,0.033
0.0,1.0,12.276,28.654,0.032
0.043,0.943,10.312,23.288,0.061
0.0,1.0,16.482,38.241,0.018
0.0,1.0,16.414,37.418,0.019
0.087,0.897,13.231,27.845,0.062
0.0,1.0,18.81,45.673,0.013
0.0,1.0,15.771,39.007,0.018
0.0,1.0,15.269,35.028,0.022
0.0,1.0,18.504,44.71,0.014
0.0,1.0,16.695,42.46,0.016
0.043,0.955,12.532,27.109,0.049
0.043,0.913,8.564,19.686,0.077
0.0,1.0,17.427,40.174,0.017
0.065,0.9,11.32,24.607,0.063
0.0,1.0,15.39,35.902,0.021
0.0,1.0,15.054,35.525,0.021
0.348,0.59,3.928,8.257,0.33
0.0,1.0,8.049,19.838,0.063
0.304,0.6,2.784,6.321,0.391
0.0,1.0,15.097,35.904,0.021
0.0,1.0,10.983,27.002,0.036
0.0,1.0,11.79,27.446,0.034
0.043,0.941,12.803,26.087,0.051
0.0,1.0,13.92,32.242,0.025
0.0,1.0,17.802,42.898,0.015
0.0,1.0,17.192,43.288,0.015
0.0,1.0,16.62,37.995,0.019
0.043,0.944,7.903,19.088,0.081
0.043,0.946,11.596,24.901,0.055
0.0,1.0,13.714,30.661,0.028
0.0,1.0,16.415,37.228,0.019
0.0,1.0,17.628,40.012,0.017
0.065,0.885,12.16,25.139,0.061
0.0,1.0,11.89,30.841,0.029
0.0,1.0,9.959,23.305,0.047
0.0,1.0,18.945,46.395,0.013
0.0,1.0,18.953,44.083,0.014
0.087,0.892,11.415,22.907,0.075
0.0,1.0,12.557,30.279,0.029
0.109,0.872,7.59,17.017,0.115
0.0,1.0,12.809,30.13,0.029
0.196,0.7,6.07,13.918,0.175
0.065,0.923,7.608,16.565,0.104
0.0,1.0,13.12,30.135,0.029
0.0,1.0,18.416,44.578,0.014
0.0,1.0,13.249,31.525,0.027
0.0,1.0,11.379,27.106,0.036
0.0,1.0,16.214,36.932,0.02
0.0,1.0,14.367,32.124,0.025
0.0,1.0,11.2,25.647,0.039
0.0,1.0,18.299,45.391,0.014
