Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.865,0.273,1.763,3.092,0.723
0.0,1.0,11.197,28.428,0.033
0.0,1.0,11.128,29.046,0.032
0.0,1.0,7.78,21.115,0.058
0.0,1.0,10.607,28.071,0.035
0.054,0.944,7.581,15.866,0.105
0.135,0.886,9.135,20.415,0.103
0.0,1.0,12.887,33.543,0.025
0.108,0.833,5.227,11.697,0.177
0.0,1.0,9.127,22.733,0.05
0.243,0.667,3.597,7.956,0.308
0.027,0.967,8.642,24.035,0.056
0.297,0.621,3.287,6.892,0.358
0.0,1.0,10.445,28.468,0.034
0.0,1.0,12.528,33.39,0.025
0.0,1.0,13.82,34.423,0.023
0.0,1.0,10.892,28.946,0.033
0.0,1.0,10.155,25.13,0.041
0.0,1.0,9.553,22.782,0.049
0.027,0.968,6.398,17.216,0.092
0.0,1.0,12.453,31.489,0.027
0.0,1.0,11.167,26.997,0.036
0.0,1.0,10.689,28.727,0.033
0.0,1.0,10.574,26.961,0.037
0.351,0.519,3.264,7.077,0.372
0.0,1.0,9.402,21.511,0.053
0.0,1.0,8.969,24.36,0.045
0.0,1.0,7.992,20.384,0.061
0.0,1.0,10.034,26.502,0.038
0.108,0.907,6.823,13.779,0.143
0.135,0.783,6.321,15.562,0.139
0.0,1.0,10.151,26.796,0.038
0.0,1.0,15.383,39.112,0.018
0.432,0.429,2.446,5.706,0.465
0.189,0.759,5.572,14.662,0.169
0.108,0.84,6.471,13.741,0.145
0.0,1.0,12.229,30.807,0.029
0.0,1.0,9.783,26.23,0.039
0.243,0.679,3.548,7.021,0.33
0.189,0.759,5.722,13.528,0.179
0.135,0.833,8.897,20.256,0.104
0.108,0.857,5.775,12.495,0.163
0.027,0.963,10.797,26.922,0.046
0.189,0.788,4.641,11.314,0.215
0.0,1.0,13.514,34.235,0.023
0.108,0.875,5.183,11.173,0.184
0.0,1.0,9.972,24.424,0.043
0.0,1.0,9.633,22.646,0.049
0.054,0.949,10.392,26.127,0.057
0.0,1.0,8.009,20.371,0.061
0.0,1.0,11.477,29.58,0.031
0.0,1.0,6.879,17.738,0.077
0.0,1.0,10.289,26.319,0.038
0.0,1.0,9.317,25.517,0.042
0.054,0.926,9.572,22.146,0.069
0.0,1.0,7.67,21.007,0.059
0.0,1.0,11.821,30.877,0.029
0.0,1.0,8.089,19.769,0.063
0.0,1.0,11.789,30.848,0.029
0.108,0.905,7.233,15.134,0.13
0.0,1.0,11.395,29.193,0.032
0.0,1.0,10.68,25.659,0.039
0.0,1.0,13.492,33.555,0.024
0.0,1.0,14.151,35.975,0.021
0.0,1.0,12.774,33.514,0.025
0.0,1.0,8.558,23.31,0.049
0.0,1.0,14.548,33.511,0.024
0.0,1.0,8.555,21.365,0.055
0.0,1.0,11.15,29.21,0.032
0.0,1.0,11.058,28.339,0.034
0.0,1.0,10.861,24.908,0.041
0.0,1.0,13.086,33.836,0.024
0.216,0.75,4.62,9.635,0.25
0.0,1.0,10.478,27.473,0.036
0.054,0.939,7.67,16.549,0.1
0.0,1.0,11.249,29.65,0.031
0.027,0.958,8.973,22.258,0.06
0.0,1.0,7.866,20.656,0.06
0.0,1.0,13.316,35.247,0.022
0.0,1.0,9.427,24.589,0.044
0.0,1.0,8.433,22.175,0.053
0.0,1.0,11.24,27.096,0.036
0.081,0.893,7.586,19.846,0.091
0.0,1.0,9.752,23.783,0.045
0.0,1.0,9.473,25.834,0.041
0.0,1.0,11.26,28.773,0.033
0.108,0.846,5.93,12.519,0.161
0.0,1.0,12.633,32.405,0.026
0.0,1.0,14.355,35.996,0.021
0.054,0.939,8.765,21.651,0.072
0.0,1.0,6.98,17.262,0.08
0.0,1.0,9.891,24.618,0.043
0.081,0.885,7.166,16.311,0.112
0.0,1.0,12.781,33.113,0.025
0.0,1.0,9.654,26.803,0.038
0.0,1.0,9.299,25.306,0.042
0.081,0.88,6.728,17.235,0.108
0.0,1.0,9.834,26.239,0.039
0.081,0.857,6.598,16.591,0.113
0.0,1.0,11.674,29.15,0.032
