Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.02,0.967,11.479,23.121,0.052
0.392,0.512,1.854,3.888,0.538
0.0,1.0,10.603,27.96,0.035
0.0,1.0,14.314,36.124,0.021
0.0,1.0,2.986,6.221,0.284
0.0,1.0,13.911,35.774,0.022
0.0,1.0,11.524,26.691,0.036
0.0,1.0,12.688,31.787,0.027
0.0,1.0,12.858,33.681,0.024
0.0,1.0,9.135,24.403,0.045
0.078,0.852,13.091,28.394,0.058
0.0,1.0,15.638,35.346,0.021
0.0,1.0,13.143,30.034,0.029
0.02,0.969,3.64,8.4,0.224
0.0,1.0,10.948,23.263,0.045
0.02,0.975,6.052,15.55,0.103
0.0,1.0,11.853,28.591,0.032
0.0,1.0,11.384,23.989,0.043
0.02,0.964,13.967,30.388,0.035
0.0,1.0,12.285,29.86,0.03
0.02,0.95,12.278,27.42,0.041
0.0,1.0,11.449,23.214,0.045
0.0,1.0,12.208,30.536,0.029
0.039,0.926,9.81,22.976,0.061
0.059,0.917,4.354,10.539,0.186
0.0,1.0,12.988,33.672,0.024
0.059,0.929,11.457,23.261,0.064
0.0,1.0,12.146,29.822,0.03
0.02,0.968,11.069,22.776,0.053
0.686,0.222,1.121,2.289,0.753
0.0,1.0,12.01,27.584,0.034
0.02,0.968,9.631,24.925,0.049
0.098,0.898,14.032,30.851,0.06
0.0,1.0,15.601,34.738,0.022
0.0,1.0,13.343,33.289,0.025
0.0,1.0,13.24,32.737,0.025
0.235,0.538,2.933,7.302,0.339
0.0,1.0,12.604,26.338,0.036
0.059,0.88,12.967,28.739,0.051
0.333,0.469,2.369,5.735,0.436
0.0,1.0,12.272,30.543,0.029
0.0,1.0,13.723,33.662,0.024
0.0,1.0,15.932,36.601,0.02
0.0,1.0,15.595,35.681,0.021
0.0,1.0,13.594,31.828,0.026
0.02,0.966,11.357,22.866,0.053
0.0,1.0,9.537,22.928,0.048
0.0,1.0,11.487,23.621,0.044
0.0,1.0,12.885,32.266,0.026
0.0,1.0,16.251,36.459,0.02
0.0,1.0,10.999,28.539,0.033
0.0,1.0,14.061,33.025,0.024
0.157,0.75,16.109,37.322,0.072
0.118,0.793,3.982,9.356,0.231
0.0,1.0,12.706,30.492,0.029
0.0,1.0,12.977,27.815,0.033
0.0,1.0,10.979,28.171,0.034
0.0,1.0,14.84,35.641,0.021
0.0,1.0,14.493,36.079,0.021
0.0,1.0,10.342,25.416,0.04
0.0,1.0,14.626,32.739,0.025
0.059,0.885,11.011,23.487,0.064
0.0,1.0,10.448,26.315,0.038
0.02,0.973,11.284,29.383,0.038
0.0,1.0,8.798,22.207,0.052
0.0,1.0,12.97,30.795,0.028
0.0,1.0,9.171,25.256,0.043
0.137,0.731,2.794,6.303,0.335
0.0,1.0,16.23,37.09,0.019
0.0,1.0,11.355,29.552,0.031
0.0,1.0,16.425,37.48,0.019
0.137,0.774,3.408,7.918,0.278
0.078,0.9,3.28,7.38,0.274
0.0,1.0,13.002,33.21,0.025
0.0,1.0,16.515,37.868,0.019
0.02,0.974,15.392,35.811,0.027
0.0,1.0,13.374,32.497,0.025
0.039,0.935,12.958,30.58,0.041
0.0,1.0,6.826,16.566,0.085
0.02,0.97,13.705,34.304,0.03
0.0,1.0,12.266,28.699,0.032
0.02,0.968,8.533,22.772,0.057
0.0,1.0,10.734,27.003,0.036
0.0,1.0,7.646,21.78,0.056
0.039,0.935,10.214,23.98,0.057
0.059,0.885,11.291,25.141,0.06
0.0,1.0,11.925,24.452,0.041
0.0,1.0,14.168,32.547,0.025
0.02,0.977,11.807,24.848,0.047
0.0,1.0,13.233,30.909,0.028
0.0,1.0,11.912,29.135,0.031
0.0,1.0,12.089,30.581,0.029
0.0,1.0,14.386,31.373,0.026
0.059,0.906,8.647,22.218,0.072
0.078,0.857,13.762,30.546,0.054
0.0,1.0,11.025,26.486,0.037
0.0,1.0,8.178,19.797,0.063
0.216,0.645,2.644,6.139,0.372
0.157,0.795,3.606,8.599,0.266
0.0,1.0,14.629,34.703,0.022
