Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.829,0.15,0.613,1.02,0.891
0.512,0.222,2.236,5.276,0.515
0.122,0.875,7.672,15.705,0.128
0.22,0.769,2.621,6.593,0.364
0.098,0.895,8.289,17.628,0.106
0.341,0.65,2.114,5.283,0.466
0.39,0.529,2.445,6.677,0.427
0.0,1.0,14.844,37.753,0.019
0.122,0.875,8.28,17.749,0.113
0.0,1.0,18.967,52.624,0.011
0.171,0.829,7.797,16.315,0.14
0.0,1.0,14.95,39.127,0.018
0.0,1.0,11.736,27.546,0.034
0.244,0.697,1.846,3.998,0.487
0.0,1.0,16.992,49.089,0.012
0.0,1.0,20.363,58.086,0.009
0.415,0.5,2.795,7.202,0.407
0.0,1.0,20.979,58.482,0.009
0.0,1.0,15.21,41.161,0.017
0.0,1.0,18.469,51.889,0.011
0.024,0.974,7.718,16.051,0.093
0.0,1.0,20.268,58.637,0.009
0.0,1.0,19.091,51.222,0.011
0.0,1.0,15.813,43.432,0.015
0.0,1.0,15.236,42.848,0.016
0.0,1.0,15.477,38.88,0.018
0.415,0.393,2.158,5.899,0.472
0.024,0.964,12.767,31.61,0.035
0.0,1.0,14.636,35.336,0.022
0.0,1.0,18.336,47.573,0.013
0.0,1.0,15.963,44.272,0.015
0.0,1.0,16.625,44.372,0.014
0.073,0.925,7.679,16.99,0.103
0.22,0.654,4.413,12.312,0.215
0.0,1.0,19.163,54.937,0.01
0.122,0.783,2.187,4.731,0.402
0.0,1.0,14.44,38.442,0.019
0.0,1.0,15.842,44.031,0.015
0.0,1.0,16.291,44.746,0.014
0.0,1.0,16.031,43.327,0.015
0.0,1.0,15.057,38.157,0.019
0.024,0.974,9.014,24.257,0.054
0.049,0.943,9.033,20.313,0.075
0.0,1.0,14.859,36.493,0.021
0.0,1.0,18.636,48.496,0.012
0.146,0.786,5.095,13.846,0.167
0.0,1.0,19.867,52.331,0.01
0.0,1.0,18.623,49.518,0.012
0.0,1.0,16.129,41.172,0.016
0.0,1.0,16.339,45.822,0.014
0.0,1.0,21.58,59.631,0.008
0.0,1.0,16.962,44.686,0.014
0.0,1.0,17.49,46.149,0.013
0.073,0.927,8.542,18.351,0.093
0.0,1.0,13.82,37.277,0.02
0.0,1.0,20.791,55.71,0.009
0.0,1.0,20.868,57.121,0.009
0.0,1.0,16.203,43.824,0.015
0.0,1.0,10.322,29.992,0.032
0.0,1.0,20.108,55.696,0.009
0.098,0.892,7.814,16.21,0.116
0.024,0.967,2.088,4.433,0.384
0.0,1.0,18.197,48.064,0.012
0.0,1.0,10.628,26.419,0.038
0.0,1.0,9.505,26.198,0.04
0.0,1.0,17.667,46.673,0.013
0.146,0.778,9.388,21.951,0.101
0.0,1.0,18.776,48.128,0.012
0.0,1.0,19.7,52.846,0.01
0.0,1.0,18.88,53.26,0.01
0.0,1.0,13.861,36.221,0.021
0.073,0.929,7.717,16.081,0.109
0.0,1.0,15.683,40.125,0.017
0.171,0.759,8.209,20.642,0.116
0.0,1.0,15.1,42.826,0.016
0.098,0.862,7.702,15.828,0.119
0.0,1.0,15.658,40.515,0.017
0.0,1.0,6.211,16.831,0.086
0.0,1.0,15.828,43.27,0.015
0.0,1.0,15.007,40.613,0.017
0.0,1.0,18.211,51.564,0.011
0.0,1.0,8.342,21.646,0.055
0.0,1.0,11.365,28.208,0.033
0.0,1.0,14.062,36.708,0.021
0.122,0.844,3.534,8.534,0.258
0.098,0.867,7.348,16.129,0.118
0.073,0.885,3.479,7.607,0.262
0.0,1.0,16.146,44.589,0.015
0.0,1.0,13.792,36.118,0.021
0.024,0.97,9.812,23.124,0.055
0.0,1.0,15.676,39.681,0.018
0.0,1.0,16.735,48.017,0.013
0.0,1.0,14.062,37.413,0.02
0.0,1.0,14.495,33.807,0.023
0.098,0.852,7.854,16.633,0.113
0.0,1.0,15.904,41.059,0.017
0.0,1.0,15.099,38.021,0.019
0.0,1.0,17.295,49.461,0.012
0.0,1.0,13.163,34.8,0.023
0.0,1.0,11.007,28.954,0.033
