Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.707,0.089,0.794,1.672,0.817
0.0,1.0,15.534,42.091,0.016
0.0,1.0,14.524,39.916,0.018
0.0,1.0,14.696,39.492,0.018
0.121,0.833,7.44,16.161,0.125
0.0,1.0,7.528,18.098,0.073
0.0,1.0,12.338,33.616,0.025
0.0,1.0,13.632,37.934,0.02
0.0,1.0,14.661,39.586,0.018
0.0,1.0,16.002,43.039,0.015
0.0,1.0,11.673,32.474,0.027
0.138,0.724,4.0,10.875,0.213
0.034,0.958,9.481,22.731,0.061
0.0,1.0,15.487,41.979,0.016
0.086,0.8,8.97,23.36,0.077
0.034,0.95,6.914,19.904,0.078
0.0,1.0,12.852,36.091,0.022
0.086,0.844,8.239,21.668,0.084
0.069,0.84,8.56,21.429,0.078
0.017,0.976,10.242,25.201,0.047
0.0,1.0,9.34,24.422,0.044
0.017,0.975,7.949,19.345,0.071
0.0,1.0,14.405,39.676,0.018
0.0,1.0,14.794,40.332,0.018
0.0,1.0,16.243,46.444,0.014
0.0,1.0,14.48,40.289,0.018
0.0,1.0,11.531,31.204,0.029
0.0,1.0,12.621,32.42,0.026
0.0,1.0,13.617,38.334,0.02
0.414,0.333,2.851,7.429,0.399
0.103,0.806,10.931,27.698,0.069
0.0,1.0,13.504,37.339,0.02
0.0,1.0,11.371,30.729,0.029
0.034,0.952,9.258,24.854,0.055
0.0,1.0,14.57,39.424,0.018
0.0,1.0,12.423,33.181,0.025
0.0,1.0,12.995,35.765,0.022
0.017,0.97,11.166,31.105,0.035
0.0,1.0,15.251,41.088,0.017
0.0,1.0,9.368,26.179,0.04
0.0,1.0,15.388,42.513,0.016
0.0,1.0,7.293,18.966,0.069
0.155,0.735,6.597,16.354,0.139
0.0,1.0,14.713,38.916,0.019
0.103,0.824,8.692,19.68,0.097
0.0,1.0,14.135,39.91,0.018
0.0,1.0,9.586,26.612,0.039
0.017,0.976,13.268,34.404,0.029
0.0,1.0,16.09,43.753,0.015
0.0,1.0,14.526,40.292,0.018
0.034,0.938,6.628,17.093,0.094
0.034,0.959,7.08,18.896,0.082
0.017,0.952,7.647,17.648,0.081
0.0,1.0,14.438,40.22,0.018
0.0,1.0,12.211,32.228,0.027
0.0,1.0,12.745,35.49,0.023
0.034,0.944,7.39,17.211,0.09
0.0,1.0,13.745,38.181,0.02
0.0,1.0,17.215,47.813,0.013
0.0,1.0,9.795,27.97,0.036
0.0,1.0,15.091,41.032,0.017
0.052,0.9,7.69,16.598,0.099
0.0,1.0,14.4,39.729,0.018
0.052,0.864,8.676,20.277,0.077
0.0,1.0,10.789,27.572,0.035
0.034,0.957,8.207,23.069,0.062
0.0,1.0,11.674,32.026,0.027
0.0,1.0,14.648,40.341,0.018
0.017,0.963,8.791,24.059,0.052
0.19,0.718,4.715,11.936,0.206
0.0,1.0,13.878,39.028,0.019
0.0,1.0,12.645,34.907,0.023
0.0,1.0,15.277,42.16,0.016
0.052,0.88,4.076,11.244,0.178
0.121,0.816,7.148,16.02,0.128
0.0,1.0,13.007,34.854,0.023
0.0,1.0,11.202,28.871,0.032
0.0,1.0,10.758,30.171,0.031
0.0,1.0,14.59,39.342,0.018
0.0,1.0,12.551,34.736,0.024
0.0,1.0,12.854,35.158,0.023
0.0,1.0,9.988,28.381,0.035
0.0,1.0,11.09,29.294,0.032
0.0,1.0,9.734,24.943,0.042
0.0,1.0,8.398,20.648,0.059
0.0,1.0,13.335,36.74,0.021
0.017,0.962,7.091,18.034,0.081
0.0,1.0,17.105,47.098,0.013
0.034,0.944,6.94,17.944,0.087
0.0,1.0,17.358,46.643,0.013
0.0,1.0,6.637,17.49,0.08
0.0,1.0,7.462,19.974,0.064
0.0,1.0,14.009,37.7,0.02
0.0,1.0,15.374,41.736,0.016
0.0,1.0,15.242,43.067,0.016
0.034,0.913,5.661,14.934,0.115
0.0,1.0,15.718,42.933,0.016
0.0,1.0,13.821,38.714,0.019
0.0,1.0,16.007,44.825,0.014
0.0,1.0,16.036,44.472,0.015
