Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.907,0.133,0.816,1.121,0.887
0.163,0.837,7.755,16.106,0.139
0.0,1.0,22.374,60.633,0.008
0.0,1.0,11.55,29.888,0.03
0.0,1.0,12.418,30.265,0.029
0.14,0.846,6.913,14.818,0.144
0.0,1.0,23.682,61.998,0.007
0.093,0.895,4.177,10.772,0.197
0.0,1.0,13.325,32.788,0.025
0.0,1.0,20.281,51.892,0.011
0.0,1.0,19.209,48.781,0.012
0.0,1.0,13.347,31.285,0.027
0.163,0.863,8.612,18.931,0.12
0.0,1.0,25.765,68.642,0.006
0.0,1.0,21.746,57.84,0.009
0.349,0.516,2.698,6.122,0.414
0.186,0.724,5.544,12.673,0.188
0.0,1.0,21.207,54.591,0.01
0.0,1.0,22.994,59.786,0.008
0.0,1.0,12.576,29.551,0.03
0.093,0.867,7.646,17.401,0.108
0.0,1.0,21.71,57.272,0.009
0.0,1.0,19.728,50.23,0.011
0.0,1.0,21.25,56.501,0.009
0.0,1.0,22.368,60.553,0.008
0.0,1.0,13.656,34.372,0.023
0.093,0.875,7.537,15.479,0.121
0.0,1.0,19.884,53.984,0.01
0.0,1.0,17.366,44.44,0.014
0.0,1.0,12.851,32.077,0.026
0.0,1.0,15.019,35.854,0.021
0.0,1.0,22.314,57.799,0.009
0.0,1.0,13.774,32.875,0.025
0.0,1.0,14.334,35.028,0.022
0.0,1.0,24.357,64.433,0.007
0.0,1.0,22.687,59.802,0.008
0.0,1.0,26.21,69.495,0.006
0.0,1.0,24.239,65.598,0.007
0.0,1.0,29.663,79.98,0.005
0.0,1.0,14.068,33.014,0.024
0.116,0.839,6.515,15.219,0.135
0.116,0.833,5.937,13.341,0.155
0.0,1.0,12.228,31.191,0.028
0.0,1.0,13.9,33.674,0.024
0.0,1.0,12.195,29.646,0.03
0.0,1.0,26.633,70.546,0.006
0.0,1.0,23.249,62.608,0.007
0.0,1.0,22.42,58.597,0.008
0.0,1.0,23.055,60.46,0.008
0.0,1.0,17.687,45.511,0.014
0.047,0.926,10.938,25.43,0.055
0.0,1.0,12.832,32.852,0.025
0.0,1.0,19.139,48.867,0.012
0.0,1.0,25.675,69.16,0.006
0.0,1.0,20.177,51.69,0.011
0.0,1.0,25.742,69.093,0.006
0.0,1.0,24.571,66.561,0.007
0.14,0.812,4.461,11.355,0.2
0.0,1.0,17.696,42.469,0.015
0.0,1.0,12.914,31.127,0.028
0.0,1.0,20.366,54.106,0.01
0.116,0.848,4.423,11.107,0.196
0.0,1.0,23.959,61.831,0.007
0.07,0.893,7.429,15.472,0.114
0.0,1.0,23.156,62.92,0.007
0.419,0.379,4.271,10.068,0.315
0.0,1.0,22.563,60.902,0.008
0.0,1.0,18.982,48.661,0.012
0.0,1.0,21.166,56.637,0.009
0.0,1.0,27.472,73.339,0.005
0.0,1.0,13.385,31.836,0.026
0.0,1.0,15.048,39.232,0.018
0.0,1.0,16.14,42.106,0.016
0.209,0.69,8.243,17.854,0.142
0.047,0.944,6.663,15.215,0.111
0.0,1.0,20.88,53.742,0.01
0.0,1.0,22.155,57.775,0.009
0.0,1.0,12.235,32.805,0.026
0.163,0.611,2.726,6.015,0.354
0.116,0.828,6.701,14.383,0.141
0.14,0.875,6.632,15.513,0.14
0.0,1.0,21.855,58.978,0.008
0.0,1.0,14.037,33.579,0.024
0.0,1.0,30.954,83.248,0.004
0.0,1.0,12.716,31.45,0.027
0.0,1.0,13.045,31.918,0.026
0.163,0.781,6.99,14.985,0.15
0.0,1.0,15.453,39.02,0.018
0.093,0.867,7.579,15.602,0.12
0.0,1.0,17.971,46.269,0.013
0.0,1.0,19.077,47.746,0.012
0.0,1.0,18.335,47.567,0.013
0.0,1.0,10.716,28.039,0.034
0.209,0.71,6.725,14.956,0.167
0.07,0.875,6.527,14.906,0.122
0.0,1.0,14.523,35.17,0.022
0.0,1.0,19.223,48.146,0.012
0.0,1.0,17.535,45.225,0.014
0.0,1.0,22.104,56.845,0.009
0.0,1.0,13.432,33.664,0.024
