Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.0,1.0,7.991,21.509,0.056
0.135,0.853,6.74,16.42,0.131
0.0,1.0,8.014,21.323,0.057
0.027,0.968,8.497,22.569,0.06
0.0,1.0,8.26,22.365,0.053
0.027,0.963,11.813,29.222,0.04
0.162,0.806,4.028,9.629,0.241
0.0,1.0,10.228,26.254,0.039
0.0,1.0,8.812,23.07,0.049
0.0,1.0,9.586,25.155,0.042
0.0,1.0,10.489,25.95,0.039
0.027,0.96,6.706,17.759,0.087
0.0,1.0,9.782,25.394,0.041
0.0,1.0,7.908,21.937,0.055
0.0,1.0,7.787,19.331,0.066
0.0,1.0,7.027,17.106,0.081
0.0,1.0,8.464,22.002,0.053
0.0,1.0,7.751,20.844,0.06
0.027,0.958,6.53,17.633,0.089
0.189,0.696,5.567,14.952,0.167
0.0,1.0,11.351,28.983,0.032
0.027,0.944,7.969,20.045,0.071
0.027,0.963,7.76,20.327,0.071
0.135,0.808,5.407,12.925,0.17
0.027,0.969,8.102,20.479,0.069
0.0,1.0,9.389,24.57,0.044
0.27,0.6,3.973,9.732,0.276
0.081,0.857,6.642,15.661,0.119
0.0,1.0,6.857,17.934,0.076
0.0,1.0,9.954,25.959,0.04
0.054,0.9,5.323,13.347,0.139
0.0,1.0,9.623,25.801,0.041
0.027,0.958,7.079,18.316,0.082
0.0,1.0,7.586,20.293,0.062
0.216,0.692,7.761,20.908,0.131
0.081,0.919,9.469,23.877,0.073
0.108,0.826,4.945,11.908,0.177
0.0,1.0,7.515,19.328,0.067
0.297,0.577,2.938,6.947,0.368
0.0,1.0,10.006,25.21,0.041
0.0,1.0,10.671,26.649,0.037
0.054,0.929,10.636,26.085,0.057
0.0,1.0,9.503,23.876,0.046
0.0,1.0,7.179,18.92,0.07
0.108,0.882,10.06,25.728,0.076
0.027,0.95,8.155,22.492,0.062
0.297,0.577,3.648,8.943,0.306
0.162,0.739,5.245,13.657,0.172
0.0,1.0,7.7,20.968,0.059
0.0,1.0,10.012,26.043,0.039
0.0,1.0,9.901,25.055,0.042
0.0,1.0,9.276,24.65,0.044
0.108,0.818,6.718,17.252,0.117
0.0,1.0,9.186,23.822,0.046
0.0,1.0,10.995,27.602,0.035
0.0,1.0,8.814,23.695,0.047
0.216,0.692,5.568,15.53,0.171
0.405,0.375,5.542,14.31,0.245
0.027,0.96,10.516,26.475,0.047
0.027,0.963,7.003,18.749,0.08
0.135,0.762,5.137,13.067,0.17
0.108,0.857,6.226,16.763,0.123
0.0,1.0,7.398,20.084,0.064
0.027,0.964,10.826,27.369,0.045
0.0,1.0,8.793,23.446,0.048
0.0,1.0,7.618,20.019,0.063
0.0,1.0,9.624,24.69,0.043
0.027,0.957,9.973,25.915,0.049
0.054,0.905,5.185,13.453,0.139
0.027,0.95,6.778,17.039,0.091
0.0,1.0,7.734,20.936,0.059
0.054,0.905,11.129,27.845,0.052
0.0,1.0,8.177,22.324,0.053
0.0,1.0,7.237,18.025,0.074
0.162,0.76,8.653,22.295,0.106
0.0,1.0,10.359,26.699,0.038
0.054,0.909,6.963,18.784,0.089
0.0,1.0,10.029,25.588,0.04
0.108,0.818,6.233,16.544,0.124
0.0,1.0,5.859,14.8,0.103
0.0,1.0,10.14,27.069,0.037
0.0,1.0,9.918,25.544,0.041
0.0,1.0,11.468,28.543,0.033
0.0,1.0,6.302,17.493,0.082
0.0,1.0,8.427,22.276,0.053
0.0,1.0,10.256,27.1,0.037
0.0,1.0,9.654,24.713,0.043
0.0,1.0,10.879,27.457,0.035
0.054,0.882,10.965,27.841,0.053
0.0,1.0,5.419,14.165,0.112
0.0,1.0,10.517,29.128,0.033
0.054,0.882,7.748,20.968,0.077
0.0,1.0,9.614,26.136,0.04
0.0,1.0,11.176,28.487,0.033
0.027,0.947,6.806,19.168,0.079
0.0,1.0,11.001,28.635,0.033
0.054,0.909,6.407,15.45,0.113
0.027,0.958,7.648,19.291,0.076
0.0,1.0,9.193,24.969,0.043
0.0,1.0,10.461,26.29,0.038
