Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.188,0.857,3.494,10.75,0.243
0.656,0.3,0.855,2.345,0.78
0.281,0.75,2.267,6.87,0.397
0.188,0.786,2.552,7.627,0.333
0.188,0.838,2.749,8.332,0.309
0.062,0.959,3.517,11.222,0.194
0.312,0.73,2.793,8.423,0.347
0.0,1.0,8.707,27.817,0.038
0.156,0.853,3.657,11.221,0.222
0.0,1.0,8.148,26.215,0.043
0.0,1.0,11.744,37.723,0.021
0.312,0.677,2.38,7.109,0.395
0.0,1.0,9.04,28.879,0.036
0.0,1.0,8.047,25.712,0.044
0.188,0.786,3.574,10.967,0.238
0.125,0.909,4.358,13.62,0.17
0.125,0.907,4.0,12.551,0.188
0.375,0.478,1.452,4.248,0.564
0.312,0.744,2.18,6.844,0.414
0.062,0.931,2.859,8.676,0.256
0.0,1.0,7.936,25.347,0.045
0.0,1.0,7.563,24.348,0.049
0.0,1.0,3.305,9.93,0.198
0.062,0.929,3.09,9.273,0.237
0.031,0.973,3.96,12.529,0.157
0.0,1.0,7.313,23.426,0.052
0.0,1.0,8.529,27.278,0.04
0.0,1.0,12.972,41.712,0.018
0.0,1.0,8.529,27.253,0.04
0.0,1.0,7.934,25.352,0.045
0.094,0.917,3.881,12.214,0.183
0.344,0.738,3.078,9.549,0.326
0.0,1.0,8.661,27.662,0.038
0.25,0.724,2.646,8.016,0.341
0.219,0.65,2.686,8.185,0.325
0.0,1.0,8.576,27.495,0.039
0.094,0.889,3.224,9.864,0.233
0.188,0.647,2.413,7.382,0.345
0.0,1.0,8.707,27.816,0.038
0.219,0.794,3.563,11.311,0.243
0.0,1.0,7.816,25.068,0.046
0.25,0.742,2.723,8.467,0.328
0.125,0.8,3.046,9.24,0.26
0.0,1.0,8.319,26.614,0.041
0.0,1.0,8.945,28.494,0.036
0.125,0.833,2.692,8.111,0.295
0.125,0.765,3.179,9.727,0.247
0.281,0.7,2.252,6.751,0.401
0.0,1.0,8.661,27.593,0.039
0.344,0.694,2.442,7.4,0.396
0.0,1.0,8.487,27.146,0.04
0.0,1.0,8.938,28.652,0.036
0.031,0.97,4.166,12.947,0.149
0.0,1.0,12.026,38.88,0.02
0.25,0.771,2.583,7.948,0.345
0.0,1.0,10.5,33.675,0.027
0.0,1.0,12.26,39.66,0.02
0.312,0.565,2.015,6.301,0.438
0.094,0.885,2.945,8.934,0.258
0.0,1.0,7.29,23.362,0.053
0.0,1.0,11.46,36.843,0.022
0.0,1.0,8.994,28.737,0.036
0.0,1.0,9.005,28.744,0.036
0.094,0.857,2.578,7.747,0.298
0.0,1.0,8.304,26.625,0.041
0.0,1.0,6.877,22.148,0.058
0.0,1.0,9.065,29.008,0.035
0.031,0.944,3.398,10.296,0.2
0.125,0.846,2.841,8.669,0.278
0.0,1.0,8.578,27.564,0.039
0.0,1.0,7.92,25.383,0.045
0.0,1.0,7.331,23.498,0.052
0.0,1.0,8.291,26.564,0.042
0.031,0.957,3.451,10.408,0.197
0.0,1.0,9.187,29.296,0.035
0.0,1.0,14.118,45.381,0.015
0.0,1.0,10.688,34.414,0.026
0.062,0.905,2.968,8.96,0.247
0.094,0.85,3.093,9.438,0.244
0.0,1.0,12.772,41.322,0.018
0.0,1.0,9.028,29.0,0.035
0.0,1.0,8.894,28.434,0.037
0.0,1.0,8.611,27.655,0.039
0.0,1.0,8.876,28.392,0.037
0.156,0.839,4.15,12.906,0.191
0.0,1.0,8.135,25.9,0.043
0.0,1.0,12.095,38.802,0.02
0.0,1.0,3.19,9.802,0.203
0.094,0.897,2.653,7.933,0.29
0.0,1.0,9.362,29.862,0.033
0.0,1.0,6.486,20.827,0.065
0.0,1.0,12.692,40.795,0.018
0.0,1.0,6.714,21.485,0.061
0.0,1.0,3.625,11.423,0.168
0.0,1.0,9.294,29.75,0.034
0.156,0.821,2.675,8.13,0.306
0.0,1.0,12.187,39.3,0.02
0.0,1.0,4.184,13.267,0.135
0.188,0.647,2.231,6.74,0.371
0.0,1.0,7.983,25.635,0.044
