Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.0,1.0,5.679,15.229,0.101
0.014,0.972,12.132,29.341,0.035
0.041,0.925,12.094,29.14,0.045
0.027,0.951,11.286,29.352,0.041
0.041,0.921,11.571,28.22,0.047
0.054,0.882,9.685,24.1,0.063
0.0,1.0,14.593,36.805,0.02
0.0,1.0,6.642,18.143,0.076
0.27,0.444,2.313,5.67,0.419
0.0,1.0,8.285,21.944,0.054
0.0,1.0,7.994,21.187,0.058
0.054,0.905,13.085,32.014,0.044
0.014,0.967,12.222,29.92,0.034
0.0,1.0,9.975,25.634,0.04
0.054,0.852,9.53,24.629,0.062
0.041,0.889,14.153,35.106,0.036
0.068,0.839,5.941,15.734,0.118
0.014,0.977,12.245,29.564,0.035
0.081,0.793,7.653,20.613,0.088
0.027,0.938,12.891,31.668,0.036
0.014,0.966,12.068,29.191,0.036
0.0,1.0,6.034,15.908,0.093
0.095,0.848,12.891,31.532,0.059
0.324,0.385,2.111,5.34,0.459
0.149,0.667,6.758,17.339,0.13
0.0,1.0,9.497,25.291,0.042
0.081,0.854,4.466,12.345,0.168
0.027,0.92,7.785,20.516,0.07
0.027,0.931,4.914,13.354,0.134
0.0,1.0,8.517,22.783,0.051
0.027,0.929,10.446,25.912,0.048
0.027,0.944,11.579,29.085,0.041
0.162,0.625,6.177,15.884,0.147
0.041,0.917,6.679,17.99,0.09
0.0,1.0,7.074,19.436,0.068
0.068,0.889,12.621,30.814,0.051
0.0,1.0,8.576,22.877,0.05
0.095,0.759,7.837,19.988,0.094
0.041,0.919,7.81,20.904,0.073
0.014,0.971,12.386,30.839,0.033
0.068,0.839,12.565,30.881,0.051
0.0,1.0,6.206,16.666,0.087
0.0,1.0,7.813,20.653,0.06
0.108,0.68,3.799,9.921,0.222
0.0,1.0,10.233,27.313,0.036
0.162,0.692,4.675,12.387,0.192
0.054,0.9,13.36,32.885,0.043
0.0,1.0,13.453,33.335,0.024
0.027,0.929,9.118,23.307,0.057
0.0,1.0,6.937,19.187,0.07
0.108,0.789,6.547,17.157,0.118
0.054,0.886,7.052,18.368,0.091
0.027,0.938,8.782,23.458,0.057
0.311,0.233,3.01,7.589,0.355
0.054,0.857,11.251,28.043,0.052
0.122,0.735,7.936,20.234,0.102
0.0,1.0,13.503,33.646,0.024
0.0,1.0,11.891,28.849,0.032
0.041,0.875,13.476,34.026,0.037
0.014,0.967,14.222,36.427,0.025
0.027,0.943,9.779,25.269,0.051
0.081,0.812,8.884,22.652,0.077
0.041,0.893,4.228,11.095,0.174
0.149,0.656,6.004,15.459,0.147
0.0,1.0,6.74,18.255,0.075
0.054,0.879,10.808,27.365,0.054
0.0,1.0,7.224,19.449,0.067
0.122,0.786,12.389,30.389,0.07
0.027,0.943,10.983,28.37,0.043
0.014,0.966,12.614,31.814,0.031
0.054,0.81,9.104,23.069,0.067
0.027,0.935,10.5,27.016,0.046
0.027,0.943,5.512,14.797,0.115
0.027,0.923,11.899,29.693,0.039
0.041,0.897,10.024,25.568,0.054
0.0,1.0,13.692,34.885,0.023
0.041,0.88,11.794,30.144,0.043
0.0,1.0,13.878,34.836,0.023
0.0,1.0,12.425,31.126,0.028
0.0,1.0,12.262,30.73,0.029
0.027,0.929,5.514,15.396,0.11
0.0,1.0,6.744,18.284,0.075
0.014,0.968,13.174,33.5,0.029
0.0,1.0,12.811,32.482,0.026
0.027,0.905,9.967,25.271,0.05
0.081,0.854,4.257,11.221,0.185
0.0,1.0,6.735,18.207,0.075
0.162,0.647,6.518,17.124,0.137
0.068,0.808,8.247,21.918,0.077
0.135,0.688,7.629,19.697,0.11
0.014,0.97,9.089,24.171,0.05
0.176,0.5,7.015,18.768,0.13
0.0,1.0,13.676,34.777,0.023
0.041,0.875,10.128,25.474,0.054
0.027,0.939,11.895,28.924,0.041
0.081,0.75,7.11,18.266,0.101
0.054,0.818,15.951,41.26,0.035
0.0,1.0,7.997,21.841,0.055
0.054,0.862,9.045,22.572,0.068
0.054,0.879,14.381,36.156,0.039
