Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.908,0.055,0.649,0.589,0.915
0.368,0.222,1.934,5.627,0.48
0.0,1.0,6.832,19.676,0.068
0.368,0.391,2.267,6.465,0.435
0.158,0.739,9.481,26.164,0.093
0.0,1.0,15.739,47.517,0.013
0.092,0.844,8.986,24.541,0.075
0.132,0.667,10.533,29.372,0.076
0.0,1.0,8.843,25.036,0.044
0.079,0.875,4.564,13.418,0.154
0.0,1.0,9.843,29.408,0.033
0.0,1.0,16.664,50.062,0.012
0.039,0.941,8.541,23.103,0.063
0.0,1.0,18.271,54.757,0.01
0.132,0.792,8.871,24.91,0.088
0.0,1.0,17.757,52.337,0.011
0.0,1.0,10.629,31.221,0.03
0.013,0.958,9.438,26.102,0.045
0.0,1.0,22.635,67.98,0.007
0.039,0.919,8.304,22.759,0.064
0.171,0.675,2.565,7.324,0.333
0.0,1.0,6.242,18.597,0.076
0.0,1.0,9.318,27.81,0.037
0.079,0.857,8.499,23.246,0.076
0.0,1.0,20.713,62.379,0.008
0.0,1.0,10.096,29.681,0.032
0.158,0.755,9.36,25.934,0.093
0.026,0.951,6.136,17.186,0.093
0.026,0.941,8.455,22.932,0.059
0.105,0.837,8.933,25.522,0.078
0.0,1.0,10.597,30.039,0.031
0.0,1.0,22.872,68.302,0.007
0.197,0.659,3.632,10.577,0.245
0.0,1.0,14.814,44.716,0.015
0.053,0.889,6.701,19.138,0.088
0.0,1.0,8.893,25.081,0.044
0.145,0.725,4.137,12.456,0.193
0.013,0.97,8.756,24.101,0.051
0.263,0.487,5.657,16.335,0.181
0.0,1.0,22.606,67.689,0.007
0.0,1.0,12.515,36.962,0.021
0.0,1.0,23.433,70.544,0.006
0.0,1.0,8.716,24.738,0.045
0.0,1.0,17.754,52.653,0.011
0.0,1.0,21.363,63.64,0.007
0.0,1.0,8.467,24.293,0.047
0.0,1.0,6.861,20.312,0.065
0.026,0.931,8.097,22.729,0.061
0.0,1.0,12.533,37.129,0.021
0.171,0.698,9.399,26.283,0.097
0.026,0.952,9.829,28.141,0.044
0.0,1.0,21.477,64.006,0.007
0.066,0.889,5.559,16.348,0.115
0.0,1.0,6.668,19.759,0.068
0.053,0.892,4.951,14.664,0.129
0.0,1.0,23.037,69.39,0.006
0.158,0.647,10.09,28.237,0.088
0.0,1.0,16.194,48.478,0.013
0.0,1.0,19.987,59.969,0.008
0.0,1.0,23.979,71.55,0.006
0.039,0.889,9.305,25.5,0.055
0.039,0.885,9.069,24.921,0.057
0.026,0.962,8.578,24.202,0.055
0.0,1.0,21.463,64.717,0.007
0.0,1.0,8.027,22.156,0.054
0.026,0.947,8.582,23.477,0.057
0.0,1.0,22.716,68.407,0.007
0.0,1.0,19.476,58.482,0.009
0.0,1.0,21.043,63.444,0.008
0.0,1.0,8.743,25.673,0.042
0.0,1.0,16.27,48.59,0.013
0.105,0.818,9.036,25.333,0.078
0.0,1.0,11.062,32.951,0.027
0.171,0.606,10.714,30.099,0.088
0.0,1.0,22.85,68.136,0.007
0.0,1.0,18.762,55.899,0.01
0.0,1.0,23.583,70.693,0.006
0.0,1.0,24.528,73.515,0.006
0.0,1.0,8.982,25.451,0.042
0.0,1.0,9.027,26.044,0.041
0.158,0.7,9.833,27.366,0.09
0.0,1.0,11.446,32.83,0.027
0.039,0.943,7.204,20.162,0.077
0.0,1.0,19.671,58.327,0.009
0.026,0.952,7.634,21.44,0.066
0.0,1.0,22.943,68.381,0.006
0.0,1.0,9.776,28.287,0.035
0.0,1.0,8.322,23.513,0.049
0.0,1.0,14.326,42.636,0.016
0.329,0.286,3.175,8.858,0.33
0.0,1.0,13.72,39.793,0.018
0.0,1.0,21.064,63.715,0.008
0.0,1.0,17.173,51.11,0.011
0.0,1.0,10.774,31.287,0.029
0.0,1.0,10.567,31.033,0.03
0.013,0.976,8.796,25.345,0.048
0.0,1.0,26.947,80.679,0.005
0.013,0.971,8.945,25.463,0.047
0.0,1.0,24.712,74.401,0.006
0.132,0.677,3.586,10.314,0.228
