Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.0,1.0,30.766,82.716,0.004
0.722,0.235,0.749,1.483,0.831
0.0,1.0,29.759,80.096,0.005
0.0,1.0,30.505,82.059,0.004
0.0,1.0,30.302,81.678,0.004
0.0,1.0,30.402,81.922,0.004
0.0,1.0,29.616,79.834,0.005
0.0,1.0,12.176,32.948,0.026
0.0,1.0,24.868,67.002,0.006
0.0,1.0,30.153,81.119,0.004
0.139,0.886,7.691,20.356,0.108
0.0,1.0,11.524,32.449,0.027
0.028,0.969,7.581,19.297,0.076
0.056,0.926,6.688,16.861,0.102
0.0,1.0,31.398,84.605,0.004
0.0,1.0,32.754,88.217,0.004
0.0,1.0,27.716,74.568,0.005
0.028,0.978,9.681,25.485,0.05
0.0,1.0,14.78,39.606,0.018
0.083,0.912,5.881,14.427,0.134
0.056,0.941,7.696,21.634,0.075
0.0,1.0,29.444,79.324,0.005
0.0,1.0,28.268,76.136,0.005
0.0,1.0,29.983,80.631,0.004
0.0,1.0,31.769,85.602,0.004
0.0,1.0,20.911,56.266,0.009
0.0,1.0,30.445,82.026,0.004
0.0,1.0,35.134,94.68,0.003
0.028,0.972,7.185,18.299,0.082
0.0,1.0,8.376,22.255,0.053
0.0,1.0,5.554,15.882,0.097
0.0,1.0,9.612,26.472,0.039
0.0,1.0,30.009,80.683,0.004
0.0,1.0,15.384,41.701,0.016
0.0,1.0,29.871,80.428,0.005
0.0,1.0,36.305,97.757,0.003
0.0,1.0,38.567,103.842,0.003
0.0,1.0,16.746,44.757,0.014
0.0,1.0,15.936,42.497,0.016
0.0,1.0,30.068,80.955,0.004
0.0,1.0,10.745,28.383,0.034
0.0,1.0,20.858,56.232,0.009
0.028,0.967,5.967,15.209,0.108
0.0,1.0,31.583,85.047,0.004
0.0,1.0,8.451,22.239,0.053
0.0,1.0,32.875,88.534,0.004
0.056,0.941,10.408,27.351,0.055
0.0,1.0,9.485,24.337,0.044
0.0,1.0,19.242,51.982,0.011
0.0,1.0,29.717,79.846,0.005
0.0,1.0,17.213,45.977,0.014
0.0,1.0,32.957,88.775,0.004
0.0,1.0,16.254,43.58,0.015
0.0,1.0,30.867,82.994,0.004
0.056,0.917,4.387,11.339,0.173
0.0,1.0,34.974,94.47,0.003
0.0,1.0,31.564,85.346,0.004
0.0,1.0,31.789,85.536,0.004
0.0,1.0,30.355,81.724,0.004
0.0,1.0,33.17,89.333,0.004
0.0,1.0,36.348,98.067,0.003
0.0,1.0,25.008,67.396,0.006
0.139,0.878,9.869,26.651,0.085
0.0,1.0,26.794,72.087,0.006
0.0,1.0,12.114,32.677,0.026
0.0,1.0,22.322,60.136,0.008
0.028,0.97,4.722,13.521,0.134
0.0,1.0,11.146,31.185,0.029
0.222,0.758,1.591,3.894,0.506
0.0,1.0,7.3,19.012,0.069
0.0,1.0,20.632,55.585,0.009
0.0,1.0,13.451,36.878,0.021
0.0,1.0,36.584,98.427,0.003
0.0,1.0,30.088,80.983,0.004
0.0,1.0,35.328,95.34,0.003
0.0,1.0,6.914,17.907,0.076
0.0,1.0,30.428,82.105,0.004
0.0,1.0,30.322,81.536,0.004
0.0,1.0,18.993,50.887,0.011
0.0,1.0,24.149,64.926,0.007
0.0,1.0,5.373,13.807,0.116
0.0,1.0,8.249,21.215,0.057
0.0,1.0,23.7,63.875,0.007
0.0,1.0,7.482,18.715,0.07
0.0,1.0,9.898,26.246,0.039
0.0,1.0,7.918,20.663,0.06
0.0,1.0,34.182,92.288,0.003
0.0,1.0,32.988,89.216,0.004
0.0,1.0,8.029,20.414,0.06
0.0,1.0,23.165,62.14,0.008
0.0,1.0,36.2,97.786,0.003
0.0,1.0,20.406,54.987,0.01
0.306,0.633,3.994,9.816,0.286
0.0,1.0,9.305,24.772,0.044
0.0,1.0,18.672,50.015,0.011
0.0,1.0,7.53,19.286,0.067
0.0,1.0,29.711,80.068,0.005
0.0,1.0,7.775,19.596,0.065
0.0,1.0,6.79,17.639,0.078
0.0,1.0,13.225,36.477,0.021
