Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.618,0.51,1.952,4.99,0.578
0.0,1.0,8.575,24.397,0.046
0.0,1.0,8.354,23.653,0.049
0.0,1.0,10.018,27.459,0.036
0.0,1.0,10.762,29.448,0.032
0.0,1.0,10.276,28.181,0.035
0.026,0.938,10.295,28.387,0.043
0.0,1.0,9.439,26.869,0.039
0.0,1.0,10.873,29.763,0.031
0.0,1.0,10.774,29.499,0.032
0.0,1.0,10.005,28.439,0.035
0.0,1.0,9.338,26.265,0.04
0.013,0.964,11.075,30.638,0.034
0.039,0.889,10.02,27.713,0.049
0.0,1.0,9.216,26.425,0.04
0.0,1.0,10.681,29.31,0.032
0.0,1.0,8.574,24.287,0.046
0.0,1.0,7.369,20.976,0.06
0.0,1.0,7.858,22.611,0.053
0.0,1.0,9.77,26.765,0.038
0.0,1.0,11.704,32.97,0.026
0.0,1.0,11.118,30.378,0.03
0.0,1.0,9.728,27.629,0.037
0.0,1.0,11.022,30.329,0.03
0.0,1.0,12.607,34.703,0.024
0.026,0.941,7.493,20.777,0.069
0.303,0.425,1.472,3.77,0.549
0.0,1.0,9.296,26.258,0.04
0.0,1.0,11.187,30.688,0.03
0.0,1.0,9.891,29.031,0.034
0.0,1.0,8.7,24.608,0.045
0.0,1.0,10.592,29.263,0.032
0.0,1.0,11.794,32.565,0.027
0.0,1.0,12.093,34.174,0.024
0.066,0.872,9.253,25.418,0.064
0.013,0.978,7.701,21.764,0.061
0.0,1.0,9.341,27.154,0.038
0.066,0.912,3.72,10.14,0.206
0.0,1.0,13.334,36.654,0.021
0.0,1.0,10.757,29.833,0.031
0.0,1.0,13.067,36.429,0.022
0.0,1.0,9.723,26.66,0.039
0.0,1.0,10.48,29.552,0.032
0.013,0.963,12.194,33.578,0.029
0.0,1.0,9.296,26.19,0.04
0.026,0.905,9.39,25.968,0.049
0.092,0.87,9.671,25.531,0.072
0.013,0.966,11.691,32.085,0.032
0.026,0.935,8.615,24.259,0.055
0.0,1.0,10.978,30.161,0.031
0.039,0.925,7.998,22.172,0.067
0.0,1.0,8.839,25.077,0.044
0.0,1.0,9.313,26.41,0.04
0.0,1.0,12.333,34.718,0.024
0.0,1.0,12.716,35.855,0.022
0.013,0.969,10.538,28.964,0.037
0.079,0.908,9.324,25.926,0.067
0.0,1.0,10.399,28.905,0.033
0.0,1.0,10.157,28.409,0.035
0.0,1.0,10.879,30.818,0.03
0.0,1.0,9.067,25.93,0.041
0.0,1.0,12.724,35.364,0.023
0.0,1.0,9.476,26.288,0.04
0.0,1.0,9.056,25.105,0.043
0.0,1.0,10.998,30.143,0.031
0.0,1.0,10.983,30.017,0.031
0.0,1.0,8.892,25.942,0.042
0.0,1.0,10.532,28.876,0.033
0.0,1.0,13.385,37.508,0.02
0.0,1.0,11.433,33.563,0.026
0.0,1.0,8.672,24.591,0.045
0.0,1.0,10.209,29.074,0.033
0.0,1.0,10.989,30.148,0.031
0.0,1.0,15.03,41.843,0.016
0.132,0.778,2.987,8.034,0.287
0.0,1.0,9.652,27.579,0.037
0.026,0.917,11.509,31.984,0.036
0.0,1.0,10.003,28.372,0.035
0.039,0.909,7.821,21.634,0.07
0.0,1.0,10.15,28.469,0.034
0.0,1.0,10.317,28.515,0.034
0.0,1.0,12.148,34.421,0.024
0.0,1.0,11.874,32.675,0.026
0.368,0.404,1.758,4.952,0.512
0.0,1.0,11.419,32.328,0.027
0.0,1.0,12.236,33.748,0.025
0.0,1.0,9.671,27.592,0.037
0.066,0.844,9.738,25.79,0.062
0.0,1.0,10.473,28.839,0.033
0.0,1.0,10.246,29.169,0.033
0.0,1.0,11.589,32.356,0.027
0.079,0.76,9.561,26.18,0.066
0.0,1.0,8.323,21.906,0.054
0.0,1.0,12.108,33.417,0.025
0.0,1.0,10.224,28.988,0.033
0.026,0.933,10.204,28.235,0.044
0.039,0.93,8.669,22.384,0.065
0.0,1.0,10.847,30.576,0.03
0.0,1.0,9.11,25.726,0.042
0.0,1.0,12.903,35.759,0.022
