Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.714,0.138,0.655,1.38,0.843
0.486,0.452,2.323,6.226,0.477
0.171,0.8,4.221,10.487,0.227
0.029,0.957,7.357,20.206,0.073
0.2,0.8,4.963,12.891,0.196
0.171,0.842,4.673,11.65,0.204
0.029,0.957,5.329,15.508,0.111
0.086,0.885,7.725,21.873,0.084
0.143,0.844,4.578,11.572,0.197
0.114,0.8,4.981,12.947,0.166
0.257,0.69,1.928,5.018,0.459
0.2,0.741,3.614,9.452,0.265
0.0,1.0,6.78,19.667,0.068
0.343,0.5,2.084,5.202,0.471
0.114,0.846,3.816,9.381,0.233
0.086,0.88,4.469,11.123,0.185
0.143,0.844,3.004,8.071,0.289
0.0,1.0,6.787,19.611,0.068
0.029,0.955,7.919,22.2,0.064
0.143,0.8,6.861,18.812,0.119
0.171,0.739,4.19,10.283,0.23
0.086,0.824,6.856,19.309,0.098
0.2,0.767,2.526,6.862,0.355
0.0,1.0,6.48,19.155,0.072
0.0,1.0,6.885,19.791,0.067
0.2,0.731,2.92,8.358,0.306
0.143,0.783,4.931,13.003,0.176
0.229,0.733,2.311,5.846,0.401
0.229,0.5,2.771,7.333,0.343
0.029,0.955,7.708,22.24,0.064
0.029,0.96,7.395,21.501,0.068
0.143,0.773,2.536,6.928,0.334
0.114,0.789,3.534,10.49,0.221
0.029,0.95,7.261,20.209,0.073
0.086,0.85,4.964,14.03,0.146
0.086,0.909,4.232,10.607,0.196
0.086,0.864,5.33,15.905,0.127
0.2,0.708,4.552,11.551,0.216
0.314,0.542,2.069,5.784,0.447
0.171,0.714,5.277,13.692,0.175
0.0,1.0,7.378,21.509,0.058
0.371,0.133,2.11,6.172,0.454
0.0,1.0,6.99,19.977,0.066
0.114,0.862,7.672,21.016,0.097
0.0,1.0,6.407,18.576,0.075
0.171,0.75,3.248,8.487,0.283
0.114,0.75,3.486,9.252,0.243
0.2,0.632,4.099,10.528,0.238
0.029,0.952,8.482,24.044,0.057
0.029,0.944,8.656,24.302,0.056
0.057,0.889,7.125,19.6,0.086
0.0,1.0,6.401,18.688,0.074
0.086,0.833,4.698,12.819,0.161
0.029,0.955,7.088,19.858,0.075
0.114,0.889,4.341,10.666,0.203
0.029,0.955,4.264,11.005,0.171
0.171,0.75,4.489,11.506,0.208
0.114,0.818,4.238,10.521,0.207
0.0,1.0,5.971,17.42,0.084
0.2,0.708,3.054,8.088,0.306
0.057,0.882,6.311,18.447,0.095
0.029,0.95,7.304,20.514,0.072
0.2,0.731,4.147,11.116,0.228
0.0,1.0,10.967,30.087,0.031
0.057,0.9,5.011,15.051,0.127
0.0,1.0,7.431,21.907,0.057
0.343,0.429,3.339,9.979,0.31
0.114,0.778,5.943,15.873,0.132
0.057,0.889,6.013,16.394,0.109
0.029,0.963,6.834,19.401,0.079
0.171,0.714,3.479,8.914,0.268
0.029,0.96,6.25,18.441,0.086
0.0,1.0,9.403,27.023,0.038
0.029,0.955,3.382,9.299,0.216
0.057,0.882,6.176,18.179,0.097
0.0,1.0,7.532,21.479,0.058
0.143,0.688,5.51,15.575,0.147
0.029,0.941,5.753,16.229,0.103
0.0,1.0,7.41,21.736,0.057
0.0,1.0,7.828,22.383,0.054
0.057,0.895,7.428,20.975,0.079
0.029,0.95,5.116,15.281,0.115
0.0,1.0,7.684,22.201,0.055
0.0,1.0,7.174,20.973,0.061
0.114,0.818,5.095,13.775,0.157
0.0,1.0,8.362,23.798,0.048
0.086,0.857,2.888,7.411,0.289
0.029,0.947,8.742,24.432,0.055
0.057,0.895,5.492,15.081,0.123
0.0,1.0,6.142,17.234,0.084
0.114,0.81,4.704,13.371,0.165
0.0,1.0,10.818,29.31,0.032
0.057,0.895,3.757,10.897,0.191
0.029,0.941,6.7,19.903,0.077
0.0,1.0,8.09,23.271,0.05
0.029,0.944,4.564,11.34,0.162
0.0,1.0,8.24,23.493,0.049
0.029,0.962,7.477,21.916,0.066
0.0,1.0,8.746,24.485,0.045
0.0,1.0,8.566,24.584,0.046
