Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.805,0.181,1.175,3.002,0.771
0.075,0.843,10.828,29.736,0.056
0.052,0.866,10.994,30.386,0.048
0.063,0.888,8.231,22.411,0.074
0.075,0.787,8.952,24.503,0.07
0.0,1.0,9.094,25.039,0.043
0.0,1.0,8.784,24.1,0.046
0.0,1.0,10.434,28.966,0.033
0.063,0.788,9.02,24.743,0.065
0.08,0.878,8.344,22.629,0.078
0.0,1.0,15.573,43.885,0.015
0.011,0.966,9.801,27.084,0.041
0.0,1.0,16.9,47.662,0.013
0.0,1.0,9.819,27.168,0.037
0.0,1.0,13.545,38.062,0.02
0.0,1.0,10.808,29.879,0.031
0.0,1.0,12.366,34.342,0.024
0.029,0.917,11.065,31.256,0.039
0.0,1.0,11.078,30.914,0.029
0.017,0.938,9.843,28.015,0.041
0.0,1.0,10.808,30.278,0.031
0.029,0.844,9.234,25.597,0.051
0.006,0.983,8.965,24.971,0.046
0.0,1.0,14.175,39.962,0.018
0.0,1.0,10.082,27.875,0.036
0.0,1.0,12.357,34.982,0.023
0.0,1.0,11.775,32.365,0.027
0.0,1.0,9.386,26.386,0.04
0.011,0.958,9.498,26.475,0.043
0.0,1.0,13.421,38.03,0.02
0.0,1.0,13.558,38.154,0.02
0.0,1.0,14.207,40.088,0.018
0.0,1.0,15.616,44.055,0.015
0.0,1.0,8.838,24.597,0.045
0.0,1.0,14.089,39.451,0.019
0.0,1.0,10.672,29.511,0.032
0.0,1.0,9.817,27.409,0.037
0.0,1.0,9.816,27.19,0.037
0.034,0.872,9.05,25.026,0.055
0.0,1.0,8.269,22.801,0.051
0.0,1.0,12.823,36.182,0.022
0.011,0.953,9.232,26.058,0.044
0.0,1.0,10.84,29.777,0.031
0.029,0.878,11.344,31.165,0.038
0.0,1.0,10.268,28.629,0.034
0.0,1.0,13.635,38.229,0.02
0.0,1.0,10.169,28.285,0.035
0.011,0.97,9.489,26.773,0.042
0.006,0.97,8.453,23.931,0.049
0.052,0.886,11.161,30.486,0.047
0.017,0.912,11.364,31.278,0.034
0.046,0.873,9.128,25.04,0.059
0.092,0.698,10.979,30.103,0.061
0.04,0.9,10.002,27.866,0.049
0.046,0.869,12.054,33.348,0.041
0.023,0.927,11.581,31.835,0.035
0.0,1.0,10.747,30.213,0.031
0.029,0.857,10.851,30.127,0.04
0.0,1.0,10.343,28.534,0.034
0.0,1.0,11.218,31.335,0.029
0.0,1.0,12.438,34.701,0.024
0.006,0.982,10.102,27.832,0.038
0.0,1.0,16.368,46.056,0.014
0.0,1.0,17.105,48.326,0.013
0.0,1.0,11.047,30.338,0.03
0.0,1.0,9.299,25.688,0.041
0.057,0.783,9.019,25.204,0.062
0.0,1.0,16.898,47.916,0.013
0.0,1.0,16.593,46.748,0.013
0.0,1.0,9.712,27.202,0.037
0.0,1.0,14.452,40.586,0.018
0.0,1.0,10.417,29.463,0.032
0.034,0.842,8.817,24.535,0.057
0.0,1.0,14.942,42.549,0.016
0.011,0.962,8.998,25.091,0.047
0.0,1.0,16.348,46.022,0.014
0.0,1.0,8.452,23.536,0.049
0.0,1.0,12.499,35.136,0.023
0.034,0.91,11.811,32.63,0.038
0.0,1.0,14.026,39.516,0.019
0.0,1.0,10.286,29.397,0.033
0.0,1.0,14.68,41.448,0.017
0.006,0.976,9.691,27.53,0.039
0.0,1.0,11.615,31.793,0.028
0.0,1.0,17.819,50.287,0.012
0.0,1.0,9.782,27.485,0.037
0.0,1.0,9.535,26.521,0.039
0.0,1.0,13.499,38.44,0.02
0.0,1.0,14.566,41.417,0.017
0.046,0.833,8.954,25.045,0.059
0.011,0.955,9.548,27.343,0.041
0.0,1.0,11.716,32.364,0.027
0.0,1.0,11.55,32.691,0.027
0.0,1.0,14.139,40.118,0.018
0.0,1.0,14.326,40.307,0.018
0.052,0.8,8.852,24.793,0.062
0.0,1.0,9.973,27.911,0.036
0.0,1.0,10.018,27.497,0.036
0.0,1.0,12.992,37.175,0.021
0.0,1.0,11.524,32.517,0.027
