Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.109,0.81,5.954,16.445,0.127
0.0,1.0,14.158,37.269,0.02
0.082,0.804,12.628,31.482,0.055
0.064,0.883,11.513,28.495,0.054
0.218,0.547,4.787,12.798,0.205
0.0,1.0,9.157,25.463,0.042
0.0,1.0,13.554,35.665,0.022
0.0,1.0,14.182,38.002,0.02
0.0,1.0,16.633,43.932,0.015
0.0,1.0,13.969,37.823,0.02
0.0,1.0,14.834,39.597,0.018
0.073,0.833,7.434,20.534,0.086
0.0,1.0,15.11,40.096,0.018
0.0,1.0,15.43,41.35,0.017
0.0,1.0,14.382,37.896,0.02
0.0,1.0,14.614,38.595,0.019
0.0,1.0,13.473,36.591,0.021
0.045,0.889,14.269,36.553,0.036
0.0,1.0,16.858,44.074,0.015
0.0,1.0,13.672,36.798,0.021
0.0,1.0,14.344,37.774,0.02
0.0,1.0,15.304,41.233,0.017
0.009,0.981,11.505,31.443,0.031
0.0,1.0,15.151,40.649,0.017
0.073,0.795,12.607,31.447,0.052
0.082,0.735,13.079,33.281,0.052
0.118,0.683,8.584,22.349,0.091
0.0,1.0,14.848,40.059,0.018
0.0,1.0,10.382,28.638,0.034
0.118,0.683,5.93,16.105,0.132
0.027,0.935,7.675,21.264,0.067
0.0,1.0,13.946,37.161,0.02
0.073,0.86,7.832,20.12,0.087
0.264,0.408,4.754,12.194,0.227
0.0,1.0,11.591,30.915,0.029
0.0,1.0,14.238,37.862,0.02
0.0,1.0,10.684,29.578,0.032
0.0,1.0,10.343,28.733,0.034
0.045,0.886,11.902,29.307,0.046
0.0,1.0,10.333,28.691,0.034
0.0,1.0,14.588,40.082,0.018
0.0,1.0,13.406,36.83,0.021
0.0,1.0,15.52,40.48,0.017
0.0,1.0,13.073,33.722,0.024
0.0,1.0,12.845,35.289,0.023
0.0,1.0,13.859,37.079,0.021
0.0,1.0,15.631,42.229,0.016
0.0,1.0,17.144,45.041,0.014
0.064,0.781,14.084,37.221,0.041
0.0,1.0,9.87,26.966,0.038
0.064,0.806,14.424,37.954,0.041
0.0,1.0,16.051,42.891,0.015
0.0,1.0,14.547,38.665,0.019
0.027,0.93,12.59,31.377,0.037
0.0,1.0,15.941,42.571,0.016
0.0,1.0,15.854,42.292,0.016
0.027,0.923,10.377,27.984,0.044
0.036,0.918,11.616,31.372,0.04
0.064,0.837,15.011,39.341,0.039
0.091,0.762,6.227,17.032,0.115
0.0,1.0,11.491,31.075,0.029
0.0,1.0,13.331,36.174,0.022
0.0,1.0,16.484,43.824,0.015
0.0,1.0,15.301,40.656,0.017
0.064,0.833,14.858,37.763,0.041
0.0,1.0,15.324,40.169,0.017
0.0,1.0,17.938,47.784,0.013
0.027,0.948,7.505,19.982,0.073
0.073,0.837,12.777,32.918,0.05
0.0,1.0,11.787,32.861,0.026
0.0,1.0,16.695,43.411,0.015
0.0,1.0,14.628,38.978,0.019
0.0,1.0,17.13,44.895,0.014
0.0,1.0,15.485,40.648,0.017
0.018,0.931,10.639,28.915,0.039
0.0,1.0,16.74,43.335,0.015
0.0,1.0,11.57,30.366,0.03
0.0,1.0,9.323,24.923,0.043
0.0,1.0,15.214,40.83,0.017
0.0,1.0,16.82,44.7,0.014
0.064,0.857,13.203,33.299,0.046
0.0,1.0,12.118,32.583,0.026
0.0,1.0,16.393,43.701,0.015
0.0,1.0,16.19,42.571,0.016
0.0,1.0,9.797,27.134,0.037
0.0,1.0,16.404,42.652,0.015
0.036,0.892,13.873,36.207,0.033
0.0,1.0,13.873,36.804,0.021
0.0,1.0,12.154,32.52,0.026
0.027,0.942,11.743,28.922,0.041
0.009,0.976,10.579,28.608,0.037
0.0,1.0,12.011,31.893,0.027
0.0,1.0,12.411,32.415,0.026
0.0,1.0,14.525,39.111,0.019
0.0,1.0,15.737,41.608,0.016
0.045,0.904,12.44,30.641,0.044
0.0,1.0,10.645,29.835,0.032
0.0,1.0,14.095,37.902,0.02
0.0,1.0,14.556,37.715,0.02
0.0,1.0,15.538,41.064,0.017
