Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.838,0.279,0.735,1.06,0.876
0.054,0.946,8.834,21.993,0.071
0.054,0.943,9.188,23.062,0.067
0.0,1.0,11.166,27.184,0.036
0.0,1.0,11.168,24.365,0.042
0.081,0.9,8.75,21.606,0.081
0.054,0.938,10.097,20.834,0.073
0.0,1.0,13.121,32.51,0.026
0.0,1.0,7.894,22.426,0.053
0.135,0.861,8.443,15.2,0.135
0.0,1.0,12.006,33.136,0.026
0.054,0.935,9.863,25.094,0.06
0.0,1.0,12.329,26.897,0.035
0.108,0.875,8.677,19.086,0.101
0.324,0.556,3.305,7.102,0.361
0.0,1.0,13.03,33.295,0.025
0.027,0.969,8.781,18.136,0.078
0.243,0.667,3.83,7.49,0.313
0.0,1.0,12.4,33.599,0.025
0.027,0.967,9.319,21.618,0.062
0.027,0.964,10.7,23.911,0.053
0.0,1.0,9.823,30.099,0.032
0.081,0.897,10.682,25.267,0.067
0.0,1.0,12.06,29.698,0.03
0.081,0.897,5.437,11.324,0.171
0.162,0.8,5.42,11.435,0.196
0.0,1.0,13.273,33.781,0.024
0.081,0.917,6.898,18.815,0.099
0.027,0.971,9.563,23.242,0.056
0.0,1.0,8.995,20.845,0.057
0.0,1.0,11.677,29.159,0.032
0.135,0.828,8.472,15.566,0.132
0.27,0.655,2.925,8.648,0.323
0.081,0.889,8.296,16.059,0.111
0.0,1.0,13.457,33.042,0.025
0.297,0.593,3.217,7.34,0.35
0.054,0.929,8.165,22.697,0.07
0.0,1.0,11.989,35.043,0.024
0.0,1.0,14.512,34.032,0.023
0.108,0.871,12.411,28.956,0.067
0.081,0.903,8.682,16.643,0.106
0.162,0.786,5.458,15.647,0.153
0.054,0.949,10.21,22.934,0.065
0.216,0.724,4.826,12.08,0.212
0.0,1.0,13.645,34.134,0.023
0.108,0.852,7.606,21.933,0.092
0.135,0.839,8.814,19.398,0.108
0.0,1.0,7.509,21.727,0.057
0.108,0.889,4.628,13.061,0.167
0.0,1.0,12.617,31.164,0.028
0.0,1.0,13.565,33.309,0.024
0.108,0.867,6.757,12.834,0.153
0.0,1.0,12.692,35.493,0.023
0.0,1.0,12.909,34.031,0.024
0.0,1.0,9.061,26.214,0.041
0.0,1.0,10.629,26.573,0.037
0.027,0.966,7.116,18.704,0.08
0.054,0.926,9.499,19.482,0.079
0.027,0.964,11.186,26.802,0.045
0.081,0.857,9.122,17.856,0.097
0.0,1.0,12.571,35.137,0.023
0.027,0.966,9.119,23.575,0.056
0.0,1.0,9.237,22.919,0.049
0.027,0.963,9.433,19.247,0.072
0.0,1.0,10.517,28.742,0.033
0.0,1.0,13.53,33.614,0.024
0.054,0.931,8.708,17.454,0.092
0.0,1.0,10.586,31.969,0.029
0.0,1.0,11.248,31.118,0.029
0.0,1.0,7.261,19.873,0.065
0.0,1.0,8.651,22.741,0.051
0.0,1.0,11.972,34.593,0.024
0.0,1.0,13.987,33.737,0.024
0.378,0.462,2.35,5.306,0.462
0.108,0.875,10.379,23.045,0.083
0.108,0.846,4.976,14.374,0.15
0.135,0.815,7.529,16.228,0.13
0.0,1.0,11.695,34.169,0.025
0.054,0.931,8.921,22.904,0.068
0.081,0.893,10.524,23.073,0.073
0.0,1.0,11.68,29.319,0.031
0.0,1.0,9.983,23.712,0.045
0.0,1.0,10.731,24.336,0.043
0.0,1.0,11.858,26.671,0.036
0.054,0.935,11.739,25.001,0.058
0.027,0.971,7.409,18.962,0.078
0.0,1.0,13.273,34.522,0.023
0.027,0.969,8.597,18.714,0.076
0.0,1.0,12.342,28.239,0.033
0.216,0.704,6.712,17.666,0.151
0.108,0.852,9.67,19.819,0.096
0.0,1.0,13.514,32.141,0.026
0.108,0.833,4.144,8.347,0.244
0.0,1.0,13.355,33.813,0.024
0.243,0.7,4.913,10.577,0.24
0.054,0.917,6.147,15.252,0.116
0.189,0.759,7.263,16.852,0.144
0.0,1.0,13.66,34.332,0.023
0.081,0.875,7.358,20.244,0.09
0.0,1.0,9.756,27.788,0.036
