Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.927,0.15,1.132,1.525,0.844
0.0,1.0,15.967,37.727,0.019
0.0,1.0,13.501,33.651,0.024
0.0,1.0,14.782,36.987,0.02
0.0,1.0,15.731,38.705,0.018
0.0,1.0,15.235,37.609,0.019
0.0,1.0,14.384,35.627,0.022
0.0,1.0,16.07,41.167,0.017
0.0,1.0,15.516,37.81,0.019
0.018,0.971,9.271,23.277,0.054
0.0,1.0,8.545,22.804,0.051
0.0,1.0,16.232,39.215,0.018
0.0,1.0,15.154,38.665,0.019
0.0,1.0,14.149,34.186,0.023
0.0,1.0,15.873,39.576,0.018
0.0,1.0,14.293,36.069,0.021
0.0,1.0,16.948,40.492,0.017
0.0,1.0,13.358,32.913,0.025
0.0,1.0,13.985,34.853,0.023
0.0,1.0,16.907,41.118,0.016
0.018,0.971,8.202,21.039,0.064
0.0,1.0,16.161,41.521,0.016
0.109,0.829,5.875,12.925,0.157
0.0,1.0,13.875,33.588,0.024
0.0,1.0,14.371,36.826,0.02
0.0,1.0,15.406,38.825,0.018
0.0,1.0,8.924,23.424,0.048
0.0,1.0,13.133,35.113,0.023
0.0,1.0,16.939,43.489,0.015
0.0,1.0,14.459,34.666,0.022
0.0,1.0,16.176,38.849,0.018
0.0,1.0,15.023,38.75,0.019
0.0,1.0,16.054,38.002,0.019
0.0,1.0,13.871,35.886,0.022
0.0,1.0,12.58,29.436,0.03
0.0,1.0,14.259,34.875,0.022
0.0,1.0,16.03,37.542,0.019
0.0,1.0,12.178,32.016,0.027
0.018,0.964,7.4,18.297,0.078
0.0,1.0,15.913,40.577,0.017
0.0,1.0,17.205,44.011,0.015
0.0,1.0,10.492,25.562,0.04
0.0,1.0,15.062,37.265,0.02
0.0,1.0,13.234,32.187,0.026
0.018,0.971,12.784,31.021,0.034
0.073,0.882,9.001,21.595,0.078
0.0,1.0,15.125,37.174,0.02
0.0,1.0,17.097,42.05,0.016
0.0,1.0,15.701,38.114,0.019
0.0,1.0,14.258,36.969,0.02
0.0,1.0,16.071,37.362,0.019
0.0,1.0,16.391,39.525,0.018
0.0,1.0,17.101,42.073,0.016
0.055,0.893,11.91,31.29,0.046
0.0,1.0,15.946,36.81,0.02
0.0,1.0,14.599,35.314,0.022
0.0,1.0,15.397,37.03,0.02
0.0,1.0,15.523,38.862,0.018
0.0,1.0,14.93,37.226,0.02
0.0,1.0,11.269,29.004,0.032
0.0,1.0,16.305,38.815,0.018
0.036,0.931,7.429,18.368,0.084
0.0,1.0,17.552,40.266,0.017
0.0,1.0,16.075,37.4,0.019
0.0,1.0,14.544,35.367,0.022
0.0,1.0,13.608,33.978,0.024
0.0,1.0,14.891,37.913,0.019
0.0,1.0,16.029,38.514,0.018
0.0,1.0,14.864,36.837,0.02
0.0,1.0,12.49,30.548,0.029
0.0,1.0,17.394,46.101,0.013
0.0,1.0,14.25,34.502,0.023
0.0,1.0,16.081,39.598,0.018
0.0,1.0,11.998,30.789,0.029
0.0,1.0,14.703,36.665,0.02
0.0,1.0,17.128,41.624,0.016
0.018,0.966,9.008,22.937,0.055
0.018,0.971,13.552,32.821,0.031
0.0,1.0,16.402,38.111,0.019
0.0,1.0,16.855,39.383,0.017
0.0,1.0,15.587,39.777,0.018
0.0,1.0,11.652,26.409,0.037
0.0,1.0,15.879,39.916,0.017
0.0,1.0,11.838,31.213,0.028
0.0,1.0,16.697,39.86,0.017
0.0,1.0,14.571,37.19,0.02
0.0,1.0,13.251,34.215,0.024
0.0,1.0,12.717,32.775,0.026
0.0,1.0,16.056,39.67,0.018
0.0,1.0,14.366,34.047,0.023
0.0,1.0,16.447,39.687,0.017
0.0,1.0,16.111,38.849,0.018
0.0,1.0,14.463,37.804,0.02
0.0,1.0,16.938,44.444,0.014
0.0,1.0,12.178,29.21,0.031
0.018,0.962,12.588,31.577,0.033
0.091,0.872,9.374,21.169,0.085
0.0,1.0,15.777,39.229,0.018
0.055,0.919,8.635,18.416,0.086
0.0,1.0,15.551,39.657,0.018
