Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.1,0.836,2.859,9.186,0.259
0.022,0.968,10.72,34.087,0.033
0.022,0.973,4.941,16.154,0.108
0.067,0.919,9.736,30.517,0.054
0.033,0.951,9.827,31.005,0.042
0.0,1.0,9.379,30.913,0.032
0.089,0.846,5.955,19.561,0.102
0.089,0.882,13.01,41.759,0.047
0.0,1.0,12.037,38.406,0.021
0.056,0.911,10.553,33.709,0.045
0.0,1.0,7.139,23.514,0.053
0.011,0.982,9.755,30.565,0.035
0.033,0.927,9.469,30.382,0.043
0.022,0.968,11.158,35.415,0.031
0.011,0.985,9.839,30.867,0.035
0.0,1.0,4.642,15.143,0.111
0.0,1.0,11.031,35.156,0.024
0.0,1.0,7.033,23.135,0.054
0.1,0.824,10.95,34.764,0.058
0.111,0.796,5.607,18.47,0.118
0.044,0.935,3.898,12.631,0.162
0.0,1.0,6.603,21.664,0.061
0.022,0.97,10.915,34.569,0.033
0.022,0.972,9.849,30.913,0.038
0.089,0.826,5.821,19.138,0.105
0.0,1.0,11.886,37.945,0.021
0.0,1.0,12.448,40.015,0.019
0.0,1.0,13.101,42.12,0.017
0.1,0.839,8.779,27.951,0.071
0.0,1.0,8.641,28.479,0.037
0.0,1.0,7.881,25.955,0.044
0.0,1.0,10.427,33.213,0.027
0.0,1.0,11.991,38.314,0.021
0.0,1.0,12.844,41.403,0.018
0.0,1.0,7.135,23.428,0.053
0.0,1.0,12.92,41.449,0.018
0.0,1.0,5.11,16.71,0.095
0.0,1.0,13.042,42.914,0.017
0.0,1.0,13.021,42.236,0.017
0.022,0.958,8.448,27.512,0.047
0.0,1.0,14.141,45.885,0.015
0.067,0.818,16.487,53.512,0.033
0.022,0.972,10.241,32.229,0.036
0.022,0.953,10.401,33.023,0.035
0.0,1.0,11.452,36.682,0.023
0.133,0.782,2.648,8.488,0.292
0.0,1.0,8.55,27.871,0.038
0.0,1.0,5.893,19.24,0.075
0.022,0.955,9.478,29.769,0.041
0.111,0.804,2.641,8.458,0.286
0.133,0.75,3.619,11.651,0.209
0.0,1.0,11.008,35.135,0.025
0.0,1.0,6.358,20.785,0.065
0.0,1.0,7.979,26.308,0.043
0.0,1.0,7.498,24.675,0.048
0.0,1.0,11.814,38.901,0.02
0.056,0.932,3.699,12.077,0.176
0.089,0.784,4.39,14.283,0.152
0.0,1.0,4.966,16.277,0.099
0.0,1.0,5.969,19.398,0.073
0.044,0.92,10.094,32.541,0.043
0.0,1.0,9.426,29.616,0.034
0.111,0.762,5.626,18.505,0.117
0.089,0.837,9.391,29.772,0.063
0.0,1.0,12.182,39.738,0.02
0.022,0.962,5.526,18.085,0.091
0.011,0.978,11.784,37.684,0.025
0.011,0.978,6.737,21.866,0.063
0.056,0.904,12.352,39.717,0.038
0.044,0.895,9.382,29.596,0.049
0.033,0.93,10.17,32.083,0.04
0.011,0.981,9.553,30.072,0.036
0.056,0.861,9.534,30.252,0.051
0.122,0.766,7.672,25.065,0.087
0.011,0.979,5.767,18.957,0.081
0.022,0.959,16.846,54.889,0.018
0.033,0.933,4.732,15.477,0.119
0.067,0.914,10.604,33.764,0.049
0.0,1.0,9.72,32.057,0.03
0.022,0.96,6.541,21.159,0.07
0.011,0.976,10.976,35.288,0.028
0.067,0.878,6.772,22.227,0.08
0.056,0.894,10.372,32.736,0.046
0.0,1.0,9.585,30.569,0.032
0.1,0.775,7.462,24.448,0.082
0.0,1.0,8.841,28.314,0.037
0.0,1.0,9.491,31.225,0.031
0.0,1.0,12.093,39.91,0.02
0.0,1.0,9.364,29.453,0.034
0.033,0.912,8.366,27.416,0.051
0.0,1.0,11.843,37.789,0.021
0.0,1.0,13.939,45.145,0.015
0.1,0.88,2.125,6.737,0.349
0.078,0.86,14.929,48.463,0.039
0.056,0.896,6.707,22.11,0.077
0.044,0.937,4.826,15.759,0.119
0.011,0.971,5.026,16.377,0.102
0.0,1.0,6.47,21.307,0.063
0.033,0.917,10.266,33.697,0.038
0.011,0.986,10.278,32.565,0.032
