Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.452,0.458,1.933,5.715,0.506
0.026,0.929,5.736,17.857,0.092
0.0,1.0,11.087,34.155,0.025
0.026,0.949,11.017,32.739,0.036
0.061,0.887,11.954,35.848,0.043
0.0,1.0,8.145,24.802,0.046
0.0,1.0,10.86,34.312,0.026
0.2,0.489,4.394,13.591,0.195
0.009,0.977,10.649,32.078,0.031
0.026,0.923,9.673,28.934,0.043
0.2,0.61,2.702,8.063,0.321
0.0,1.0,10.164,32.024,0.029
0.0,1.0,7.703,24.281,0.049
0.0,1.0,11.665,36.786,0.022
0.009,0.979,10.758,32.235,0.031
0.009,0.98,8.516,25.588,0.046
0.104,0.76,5.349,16.665,0.128
0.043,0.9,12.212,37.012,0.036
0.017,0.957,11.601,35.106,0.03
0.052,0.842,5.315,16.471,0.112
0.0,1.0,13.64,42.027,0.017
0.0,1.0,9.555,29.75,0.033
0.026,0.952,10.748,31.948,0.037
0.0,1.0,9.871,31.181,0.031
0.07,0.805,3.296,10.072,0.219
0.0,1.0,4.775,14.819,0.112
0.0,1.0,10.81,33.548,0.026
0.035,0.927,9.926,29.599,0.044
0.0,1.0,9.807,30.621,0.031
0.035,0.92,15.537,47.584,0.025
0.13,0.674,3.368,10.292,0.234
0.017,0.971,10.866,32.217,0.034
0.0,1.0,9.365,29.516,0.034
0.0,1.0,7.774,23.929,0.049
0.035,0.923,10.587,31.355,0.041
0.139,0.758,3.197,9.826,0.249
0.122,0.6,4.401,13.488,0.17
0.043,0.886,9.531,28.555,0.05
0.035,0.902,10.29,30.563,0.042
0.0,1.0,11.33,35.693,0.024
0.026,0.956,10.825,32.27,0.037
0.07,0.81,5.001,15.334,0.129
0.052,0.875,15.508,47.513,0.031
0.0,1.0,13.215,40.515,0.018
0.0,1.0,10.588,31.413,0.029
0.096,0.776,3.711,11.218,0.2
0.0,1.0,13.417,40.949,0.018
0.0,1.0,13.064,40.423,0.018
0.009,0.978,7.731,24.285,0.051
0.0,1.0,10.756,32.304,0.028
0.0,1.0,15.891,49.639,0.012
0.0,1.0,11.462,35.425,0.024
0.017,0.96,13.738,41.752,0.023
0.2,0.477,6.185,19.01,0.141
0.043,0.839,13.642,41.521,0.032
0.052,0.842,7.265,22.005,0.074
0.0,1.0,6.332,19.893,0.069
0.0,1.0,9.452,28.651,0.035
0.0,1.0,7.679,24.137,0.049
0.122,0.65,3.879,11.715,0.199
0.009,0.98,10.547,31.272,0.032
0.139,0.704,3.139,9.628,0.254
0.0,1.0,11.497,36.298,0.023
0.087,0.818,3.818,11.945,0.186
0.035,0.932,12.896,39.044,0.031
0.017,0.966,12.187,36.613,0.028
0.0,1.0,8.976,28.371,0.037
0.122,0.77,3.814,11.911,0.198
0.017,0.949,10.986,32.722,0.033
0.0,1.0,12.028,36.48,0.022
0.009,0.98,5.694,17.797,0.086
0.078,0.812,4.173,12.767,0.167
0.0,1.0,14.417,44.683,0.015
0.0,1.0,10.674,33.034,0.027
0.026,0.936,12.338,37.496,0.03
0.087,0.744,5.935,18.435,0.107
0.104,0.755,3.89,11.811,0.192
0.017,0.957,7.473,22.616,0.06
0.0,1.0,10.19,32.076,0.029
0.0,1.0,12.682,39.927,0.019
0.035,0.886,8.904,27.276,0.05
0.0,1.0,9.677,29.708,0.033
0.009,0.975,11.306,33.996,0.028
0.0,1.0,11.322,35.57,0.024
0.0,1.0,4.736,14.524,0.115
0.017,0.957,8.334,25.437,0.05
0.017,0.944,12.634,38.218,0.026
0.0,1.0,12.522,39.062,0.02
0.009,0.971,10.522,31.294,0.032
0.035,0.92,6.608,20.539,0.077
0.0,1.0,10.428,31.974,0.029
0.026,0.944,10.689,31.652,0.038
0.0,1.0,14.567,44.889,0.015
0.0,1.0,14.369,45.349,0.015
0.0,1.0,11.529,35.384,0.024
0.035,0.902,6.938,21.181,0.073
0.026,0.919,16.742,51.582,0.02
0.017,0.957,10.119,30.113,0.038
0.0,1.0,8.298,25.514,0.044
0.017,0.966,4.7,14.68,0.12
