Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.011,0.987,13.157,9.907,0.149
0.056,0.884,15.011,23.302,0.061
0.011,0.974,17.681,28.765,0.033
0.0,1.0,16.895,25.091,0.037
0.079,0.837,15.464,26.308,0.061
0.0,1.0,17.641,34.026,0.022
0.0,1.0,17.926,36.755,0.019
0.0,1.0,17.47,27.391,0.032
0.011,0.973,17.703,33.27,0.027
0.034,0.954,17.171,26.107,0.046
0.034,0.939,15.657,22.939,0.055
0.056,0.906,16.455,30.881,0.045
0.0,1.0,13.288,11.439,0.123
0.0,1.0,16.901,25.078,0.037
0.034,0.921,15.928,25.994,0.046
0.011,0.97,17.964,37.661,0.022
0.0,1.0,18.054,31.436,0.025
0.0,1.0,18.946,38.588,0.018
0.067,0.842,14.969,21.28,0.072
0.011,0.971,18.52,36.038,0.023
0.011,0.968,18.531,34.459,0.025
0.011,0.968,15.759,23.434,0.045
0.0,1.0,17.13,29.432,0.028
0.011,0.983,15.632,26.213,0.039
0.0,1.0,16.58,35.128,0.021
0.0,1.0,19.335,36.389,0.019
0.067,0.87,17.253,28.877,0.052
0.045,0.909,16.019,29.041,0.044
0.056,0.891,16.924,28.608,0.048
0.0,1.0,17.065,30.319,0.027
0.022,0.941,16.941,27.622,0.039
0.0,1.0,13.342,11.566,0.121
0.011,0.976,17.942,33.475,0.026
0.0,1.0,18.911,41.292,0.016
0.079,0.915,14.151,16.112,0.102
0.056,0.894,16.701,34.071,0.041
0.011,0.958,18.397,31.923,0.028
0.034,0.909,18.619,34.744,0.032
0.0,1.0,20.558,41.182,0.015
0.0,1.0,16.589,24.189,0.039
0.022,0.961,16.324,27.814,0.039
0.0,1.0,17.844,38.44,0.018
0.0,1.0,19.191,39.557,0.017
0.045,0.917,15.6,25.726,0.051
0.011,0.974,16.35,31.128,0.03
0.0,1.0,18.098,35.686,0.02
0.022,0.941,16.678,30.791,0.034
0.011,0.962,14.558,18.381,0.066
0.034,0.941,16.962,28.174,0.042
0.067,0.875,14.656,17.531,0.089
0.011,0.974,15.725,26.915,0.037
0.0,1.0,18.218,40.794,0.016
0.011,0.971,17.719,28.675,0.033
0.034,0.933,16.024,28.317,0.042
0.056,0.861,14.804,18.648,0.079
0.011,0.977,17.864,32.43,0.028
0.011,0.973,19.09,40.099,0.02
0.022,0.943,16.947,26.783,0.041
0.0,1.0,18.734,33.262,0.023
0.0,1.0,17.757,32.092,0.024
0.011,0.976,16.674,28.396,0.034
0.0,1.0,18.871,34.27,0.021
0.0,1.0,18.079,34.734,0.021
0.0,1.0,19.145,38.516,0.018
0.0,1.0,17.093,26.189,0.034
0.011,0.974,15.27,24.086,0.044
0.0,1.0,17.852,35.731,0.02
0.0,1.0,14.935,24.765,0.038
0.022,0.947,14.204,15.932,0.085
0.0,1.0,16.913,29.36,0.028
0.034,0.94,14.997,21.914,0.058
0.022,0.95,16.935,26.376,0.041
0.0,1.0,16.454,24.99,0.037
0.0,1.0,17.156,34.023,0.022
0.101,0.786,15.931,26.514,0.068
0.09,0.822,15.18,23.424,0.072
0.011,0.971,16.234,25.745,0.039
0.0,1.0,16.551,32.183,0.024
0.0,1.0,17.316,34.487,0.022
0.0,1.0,17.707,35.307,0.021
0.011,0.967,13.648,12.045,0.119
0.045,0.931,14.303,20.628,0.067
0.0,1.0,17.418,27.65,0.031
0.0,1.0,16.647,29.492,0.028
0.0,1.0,19.446,42.379,0.015
0.022,0.944,17.242,29.074,0.036
0.011,0.967,18.633,36.4,0.023
0.0,1.0,19.509,41.421,0.015
0.011,0.984,17.053,29.265,0.032
0.0,1.0,17.598,29.934,0.027
0.0,1.0,17.441,32.376,0.024
0.034,0.917,15.078,20.331,0.064
0.034,0.939,17.935,31.726,0.036
0.011,0.978,17.873,32.419,0.028
0.0,1.0,16.309,29.381,0.029
0.045,0.944,13.508,10.118,0.157
0.056,0.857,15.206,19.938,0.073
0.011,0.969,15.271,23.788,0.045
0.045,0.882,15.977,24.177,0.055
0.022,0.971,15.59,22.232,0.053
