Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.8,0.333,0.916,1.809,0.828
0.0,1.0,15.273,41.139,0.017
0.0,1.0,14.978,38.777,0.019
0.0,1.0,10.757,28.857,0.033
0.057,0.938,3.87,9.953,0.203
0.0,1.0,15.559,41.176,0.017
0.0,1.0,15.534,41.648,0.016
0.0,1.0,14.996,40.36,0.017
0.0,1.0,8.379,23.063,0.05
0.0,1.0,10.051,26.087,0.039
0.0,1.0,14.812,39.837,0.018
0.0,1.0,10.258,25.751,0.04
0.086,0.917,7.281,16.333,0.113
0.0,1.0,14.661,38.744,0.019
0.0,1.0,14.306,36.743,0.021
0.029,0.974,6.561,17.874,0.088
0.0,1.0,14.368,38.972,0.019
0.0,1.0,13.764,33.779,0.024
0.0,1.0,15.351,40.345,0.017
0.0,1.0,14.249,38.126,0.019
0.0,1.0,10.905,27.589,0.035
0.0,1.0,15.115,38.562,0.019
0.0,1.0,13.767,37.497,0.02
0.0,1.0,9.434,25.319,0.042
0.0,1.0,11.555,29.671,0.031
0.029,0.969,7.053,16.685,0.093
0.143,0.848,8.96,21.433,0.102
0.0,1.0,14.717,36.288,0.021
0.0,1.0,14.881,38.925,0.019
0.0,1.0,11.875,30.419,0.029
0.0,1.0,13.264,32.255,0.026
0.171,0.778,8.038,18.667,0.126
0.0,1.0,6.769,18.646,0.073
0.0,1.0,9.989,24.034,0.044
0.0,1.0,15.863,41.174,0.017
0.0,1.0,9.466,24.331,0.044
0.0,1.0,14.436,38.834,0.019
0.0,1.0,14.18,36.109,0.021
0.143,0.853,5.0,12.789,0.177
0.0,1.0,14.781,38.952,0.019
0.0,1.0,10.447,27.69,0.035
0.0,1.0,9.975,26.686,0.038
0.0,1.0,15.454,41.387,0.017
0.0,1.0,12.286,29.898,0.03
0.029,0.971,8.652,21.402,0.065
0.086,0.889,6.13,14.584,0.132
0.0,1.0,12.094,30.251,0.029
0.0,1.0,14.681,38.832,0.019
0.0,1.0,15.353,40.757,0.017
0.0,1.0,9.52,24.698,0.043
0.0,1.0,12.33,29.86,0.03
0.0,1.0,14.304,36.002,0.021
0.0,1.0,13.09,33.145,0.025
0.0,1.0,14.649,35.955,0.021
0.0,1.0,11.032,27.491,0.035
0.0,1.0,15.395,41.081,0.017
0.0,1.0,14.845,39.125,0.018
0.0,1.0,14.552,37.721,0.02
0.0,1.0,13.924,35.082,0.022
0.0,1.0,14.775,40.48,0.017
0.229,0.75,3.076,7.098,0.337
0.0,1.0,12.334,31.173,0.028
0.0,1.0,10.105,25.819,0.04
0.0,1.0,14.966,40.761,0.017
0.0,1.0,13.988,34.735,0.023
0.429,0.4,2.006,4.853,0.514
0.0,1.0,15.431,40.748,0.017
0.257,0.667,3.758,8.676,0.295
0.0,1.0,13.803,35.609,0.022
0.0,1.0,8.622,21.834,0.054
0.0,1.0,13.649,34.711,0.023
0.0,1.0,10.506,26.089,0.039
0.0,1.0,11.911,30.912,0.029
0.0,1.0,12.44,31.837,0.027
0.057,0.941,3.578,8.695,0.232
0.0,1.0,12.999,32.792,0.025
0.0,1.0,13.774,35.119,0.022
0.143,0.783,5.928,14.829,0.15
0.0,1.0,11.036,27.184,0.036
0.0,1.0,10.185,27.225,0.037
0.0,1.0,14.056,34.975,0.022
0.0,1.0,15.192,40.718,0.017
0.029,0.95,7.697,18.565,0.079
0.029,0.968,8.353,21.234,0.066
0.029,0.967,8.177,21.353,0.066
0.0,1.0,9.622,23.103,0.048
0.0,1.0,10.79,28.644,0.033
0.0,1.0,15.168,39.127,0.018
0.0,1.0,15.18,40.428,0.017
0.0,1.0,10.479,27.508,0.036
0.0,1.0,9.563,24.966,0.043
0.0,1.0,6.506,17.159,0.083
0.057,0.923,7.674,18.082,0.092
0.057,0.929,11.451,27.661,0.053
0.0,1.0,15.412,41.871,0.016
0.0,1.0,12.59,31.078,0.028
0.029,0.971,10.295,25.381,0.05
0.0,1.0,14.51,39.255,0.018
0.171,0.812,4.268,9.835,0.236
0.0,1.0,15.184,40.9,0.017
