Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.125,0.818,2.619,7.499,0.311
0.25,0.692,2.676,7.079,0.36
0.094,0.88,4.286,11.026,0.192
0.0,1.0,7.744,23.11,0.052
0.0,1.0,9.712,29.614,0.033
0.0,1.0,11.424,34.742,0.024
0.0,1.0,11.331,33.084,0.026
0.219,0.632,1.925,5.122,0.443
0.0,1.0,8.248,23.869,0.048
0.0,1.0,14.07,39.087,0.019
0.0,1.0,7.839,23.458,0.05
0.0,1.0,11.601,34.605,0.024
0.281,0.625,1.828,4.85,0.479
0.156,0.828,3.823,11.248,0.218
0.156,0.783,2.984,8.604,0.284
0.062,0.929,5.187,14.1,0.135
0.125,0.852,4.249,11.283,0.199
0.0,1.0,13.615,37.837,0.02
0.0,1.0,9.01,26.704,0.04
0.0,1.0,13.14,36.892,0.021
0.0,1.0,13.36,37.88,0.02
0.0,1.0,7.328,21.439,0.059
0.281,0.69,4.495,12.305,0.235
0.0,1.0,7.578,22.161,0.055
0.0,1.0,13.789,38.821,0.019
0.0,1.0,12.99,36.809,0.021
0.0,1.0,14.203,39.961,0.018
0.0,1.0,13.132,38.66,0.02
0.0,1.0,10.416,31.39,0.03
0.0,1.0,8.017,23.966,0.049
0.0,1.0,10.627,31.763,0.029
0.125,0.857,5.234,14.041,0.156
0.0,1.0,13.092,38.508,0.02
0.0,1.0,12.595,35.726,0.023
0.0,1.0,10.084,29.975,0.032
0.0,1.0,8.147,24.549,0.047
0.0,1.0,12.77,38.34,0.02
0.0,1.0,10.976,32.712,0.027
0.0,1.0,13.93,40.303,0.018
0.0,1.0,7.474,22.268,0.055
0.0,1.0,15.973,47.797,0.013
0.0,1.0,13.408,38.196,0.02
0.0,1.0,12.645,36.186,0.022
0.0,1.0,13.637,37.956,0.02
0.0,1.0,13.617,39.298,0.019
0.0,1.0,10.495,31.725,0.029
0.0,1.0,11.307,33.698,0.026
0.0,1.0,13.103,36.665,0.021
0.0,1.0,13.677,38.25,0.02
0.0,1.0,15.342,44.196,0.015
0.0,1.0,8.205,24.517,0.047
0.094,0.864,3.868,10.113,0.213
0.0,1.0,7.824,22.596,0.053
0.0,1.0,13.171,36.668,0.021
0.062,0.913,5.103,13.624,0.141
0.0,1.0,8.6,26.558,0.041
0.0,1.0,7.706,22.362,0.054
0.0,1.0,4.046,11.543,0.157
0.0,1.0,12.76,35.8,0.022
0.0,1.0,13.591,39.359,0.019
0.0,1.0,10.94,33.225,0.027
0.0,1.0,11.93,34.287,0.024
0.0,1.0,9.027,26.934,0.039
0.0,1.0,8.291,24.875,0.045
0.0,1.0,12.9,36.032,0.022
0.0,1.0,13.174,36.974,0.021
0.094,0.812,3.462,9.941,0.225
0.0,1.0,6.327,19.018,0.073
0.031,0.968,7.987,24.168,0.058
0.0,1.0,12.682,37.084,0.021
0.0,1.0,11.247,32.898,0.027
0.0,1.0,10.765,31.654,0.029
0.0,1.0,8.609,25.523,0.043
0.0,1.0,10.906,32.616,0.027
0.0,1.0,6.028,18.353,0.078
0.094,0.864,4.578,12.278,0.172
0.0,1.0,13.202,37.285,0.021
0.062,0.889,1.896,5.403,0.387
0.0,1.0,11.128,33.831,0.026
0.0,1.0,14.602,41.739,0.017
0.0,1.0,11.393,35.702,0.024
0.0,1.0,13.734,38.268,0.02
0.0,1.0,10.354,30.093,0.031
0.0,1.0,13.894,40.221,0.018
0.0,1.0,13.54,38.32,0.02
0.0,1.0,13.981,40.093,0.018
0.0,1.0,12.578,36.226,0.022
0.0,1.0,14.702,43.871,0.015
0.094,0.8,5.234,15.098,0.137
0.0,1.0,16.179,46.738,0.014
0.0,1.0,13.201,37.451,0.021
0.094,0.842,5.584,15.281,0.132
0.0,1.0,13.398,37.649,0.02
0.0,1.0,8.189,25.29,0.045
0.188,0.818,2.55,6.895,0.349
0.0,1.0,14.102,40.944,0.018
0.0,1.0,12.884,37.062,0.021
0.094,0.833,4.335,11.8,0.181
0.0,1.0,14.965,44.558,0.015
0.0,1.0,9.435,27.94,0.036
