Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.0,1.0,10.287,30.563,0.031
0.0,1.0,9.906,30.629,0.031
0.0,1.0,10.27,30.81,0.031
0.0,1.0,11.724,35.024,0.024
0.194,0.72,3.174,8.774,0.287
0.0,1.0,13.75,39.941,0.018
0.0,1.0,11.043,33.809,0.026
0.0,1.0,10.354,30.538,0.031
0.0,1.0,9.308,28.752,0.035
0.0,1.0,8.728,27.057,0.04
0.139,0.848,4.562,12.397,0.185
0.167,0.829,5.333,15.35,0.158
0.0,1.0,11.212,34.008,0.025
0.194,0.682,4.148,11.15,0.226
0.083,0.923,3.356,10.008,0.223
0.0,1.0,11.928,36.47,0.022
0.0,1.0,11.213,33.559,0.026
0.0,1.0,10.034,30.714,0.031
0.0,1.0,6.179,19.577,0.071
0.0,1.0,10.823,31.892,0.028
0.0,1.0,11.853,35.563,0.023
0.0,1.0,11.045,33.208,0.027
0.0,1.0,9.703,30.372,0.032
0.0,1.0,7.783,24.181,0.049
0.0,1.0,12.366,36.874,0.022
0.0,1.0,11.135,33.412,0.026
0.0,1.0,13.932,40.664,0.018
0.139,0.821,3.805,11.105,0.214
0.0,1.0,8.791,26.451,0.041
0.278,0.667,2.355,6.904,0.39
0.056,0.943,3.967,11.005,0.185
0.0,1.0,11.317,34.849,0.024
0.0,1.0,13.673,39.73,0.019
0.0,1.0,10.438,31.566,0.029
0.0,1.0,11.622,35.245,0.024
0.361,0.519,3.369,9.031,0.332
0.0,1.0,11.847,36.207,0.023
0.0,1.0,9.283,27.415,0.038
0.167,0.778,2.626,7.572,0.323
0.0,1.0,11.749,34.933,0.024
0.0,1.0,9.838,29.892,0.033
0.028,0.968,8.096,25.385,0.054
0.0,1.0,9.725,28.751,0.035
0.194,0.781,4.481,12.282,0.206
0.0,1.0,11.036,33.199,0.027
0.0,1.0,8.868,27.604,0.038
0.139,0.8,4.029,11.072,0.21
0.0,1.0,8.866,26.78,0.04
0.056,0.938,5.996,18.407,0.097
0.0,1.0,13.165,39.538,0.019
0.0,1.0,13.361,38.892,0.019
0.0,1.0,12.746,36.857,0.021
0.0,1.0,12.589,38.045,0.021
0.0,1.0,10.497,32.074,0.029
0.0,1.0,6.317,19.573,0.071
0.0,1.0,10.716,32.368,0.028
0.0,1.0,9.206,27.377,0.038
0.0,1.0,11.769,35.691,0.023
0.0,1.0,8.353,25.699,0.043
0.111,0.846,3.981,11.647,0.194
0.0,1.0,10.453,31.887,0.029
0.0,1.0,12.704,38.502,0.02
0.0,1.0,11.13,33.1,0.027
0.0,1.0,9.611,28.891,0.034
0.0,1.0,8.285,25.389,0.044
0.0,1.0,10.285,30.162,0.031
0.111,0.882,4.248,11.558,0.191
0.0,1.0,5.616,17.322,0.087
0.111,0.852,4.078,10.966,0.202
0.083,0.897,2.476,6.724,0.322
0.0,1.0,10.282,31.245,0.03
0.0,1.0,12.944,38.857,0.02
0.0,1.0,10.567,31.329,0.029
0.083,0.909,4.502,14.162,0.149
0.0,1.0,12.361,37.779,0.021
0.0,1.0,7.834,24.316,0.048
0.0,1.0,7.166,22.837,0.055
0.0,1.0,9.184,27.854,0.037
0.0,1.0,13.164,38.732,0.02
0.0,1.0,11.6,35.414,0.024
0.0,1.0,8.72,26.286,0.041
0.0,1.0,12.54,38.117,0.02
0.139,0.815,4.683,13.138,0.176
0.0,1.0,5.653,16.266,0.093
0.0,1.0,11.859,36.06,0.023
0.0,1.0,9.903,29.274,0.033
0.0,1.0,9.769,30.746,0.031
0.0,1.0,8.6,25.837,0.042
0.0,1.0,8.143,24.747,0.046
0.028,0.971,8.583,26.614,0.05
0.0,1.0,11.616,34.682,0.024
0.0,1.0,10.185,30.856,0.031
0.0,1.0,7.448,23.72,0.051
0.0,1.0,13.259,39.868,0.019
0.0,1.0,10.984,32.898,0.027
0.056,0.933,4.469,12.404,0.159
0.0,1.0,9.833,29.32,0.033
0.0,1.0,9.262,28.497,0.036
0.0,1.0,12.48,37.93,0.021
0.0,1.0,12.211,35.509,0.023
