Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.952,0.024,0.59,1.225,0.933
0.0,1.0,12.728,32.093,0.026
0.0,1.0,12.929,33.374,0.025
0.024,0.977,10.85,26.847,0.045
0.167,0.8,8.266,17.423,0.13
0.0,1.0,14.802,37.183,0.02
0.024,0.975,5.282,13.08,0.132
0.0,1.0,14.301,36.009,0.021
0.0,1.0,13.857,37.034,0.021
0.0,1.0,13.098,33.826,0.024
0.0,1.0,14.634,35.82,0.021
0.0,1.0,13.907,35.626,0.022
0.0,1.0,14.999,37.69,0.019
0.0,1.0,14.748,39.155,0.018
0.0,1.0,7.047,16.033,0.088
0.0,1.0,7.361,18.069,0.074
0.0,1.0,11.142,26.273,0.038
0.5,0.382,2.721,5.918,0.469
0.0,1.0,12.742,31.28,0.027
0.0,1.0,13.492,34.586,0.023
0.0,1.0,14.395,36.8,0.02
0.0,1.0,10.541,27.079,0.037
0.119,0.853,3.582,7.916,0.268
0.0,1.0,9.082,20.997,0.056
0.0,1.0,16.058,42.541,0.016
0.19,0.742,7.362,15.331,0.155
0.0,1.0,12.415,33.379,0.025
0.119,0.889,6.568,15.393,0.134
0.167,0.8,7.121,14.593,0.154
0.286,0.625,3.603,8.229,0.317
0.0,1.0,12.692,31.805,0.027
0.0,1.0,13.416,34.183,0.024
0.048,0.947,8.869,20.65,0.073
0.0,1.0,9.936,22.783,0.048
0.0,1.0,14.165,35.167,0.022
0.0,1.0,14.506,37.716,0.02
0.0,1.0,12.49,31.226,0.028
0.0,1.0,15.871,38.304,0.019
0.0,1.0,12.121,30.203,0.029
0.0,1.0,14.775,40.003,0.018
0.0,1.0,13.447,34.236,0.023
0.0,1.0,13.657,34.184,0.023
0.0,1.0,10.767,26.013,0.039
0.0,1.0,13.848,36.366,0.021
0.119,0.881,3.373,6.948,0.295
0.0,1.0,16.119,39.101,0.018
0.0,1.0,14.154,37.268,0.02
0.0,1.0,14.068,36.269,0.021
0.0,1.0,13.62,35.707,0.022
0.0,1.0,16.332,39.965,0.017
0.071,0.88,7.581,18.063,0.097
0.0,1.0,14.41,35.032,0.022
0.0,1.0,9.574,22.05,0.051
0.19,0.771,2.853,5.946,0.359
0.0,1.0,16.22,42.776,0.015
0.0,1.0,11.393,29.546,0.031
0.0,1.0,11.569,27.249,0.035
0.0,1.0,14.364,35.628,0.022
0.0,1.0,14.253,36.911,0.02
0.0,1.0,14.611,39.481,0.018
0.024,0.971,6.524,17.842,0.086
0.0,1.0,16.145,40.317,0.017
0.0,1.0,14.924,37.155,0.02
0.0,1.0,13.113,32.734,0.025
0.0,1.0,7.715,20.21,0.062
0.0,1.0,8.712,23.661,0.048
0.0,1.0,14.077,35.855,0.021
0.0,1.0,10.392,25.346,0.041
0.0,1.0,14.571,38.414,0.019
0.0,1.0,15.708,39.055,0.018
0.071,0.927,6.82,17.751,0.101
0.0,1.0,16.175,42.515,0.016
0.0,1.0,9.806,23.687,0.046
0.0,1.0,13.933,35.432,0.022
0.024,0.974,7.638,16.15,0.093
0.0,1.0,15.301,38.086,0.019
0.095,0.889,8.062,17.297,0.108
0.0,1.0,14.254,37.485,0.02
0.095,0.862,7.713,15.661,0.12
0.024,0.97,8.565,20.171,0.068
0.0,1.0,15.151,37.252,0.02
0.0,1.0,9.795,25.068,0.042
0.0,1.0,11.054,27.692,0.035
0.0,1.0,14.375,35.631,0.022
0.0,1.0,14.939,38.013,0.019
0.0,1.0,14.418,36.009,0.021
0.071,0.889,8.155,17.796,0.097
0.0,1.0,13.609,33.562,0.024
0.071,0.906,8.857,20.073,0.084
0.0,1.0,14.342,34.016,0.023
0.0,1.0,8.717,21.739,0.054
0.0,1.0,9.239,22.492,0.05
0.0,1.0,9.351,24.25,0.045
0.0,1.0,14.758,36.778,0.02
0.0,1.0,13.816,36.257,0.021
0.0,1.0,13.918,34.872,0.023
0.0,1.0,10.704,25.948,0.039
0.0,1.0,12.334,30.596,0.029
0.095,0.833,8.059,18.461,0.101
0.0,1.0,17.208,42.487,0.015
